1, Hà Giang, 27°, Mây rải rác, 16°, 28°, 28°, 10 km, 1.38 km/giờ, 15 °C, 3.1, Rất kém
16, Hà Nội, 28°, Bầu trời quang đãng, 20°, 29°, 29°, 10 km, 1.54 km/giờ, 17 °C, 4.59, Rất kém
17, Vĩnh Phúc, 28°, Mây thưa, 19°, 29°, 29°, 10 km, 1.39 km/giờ, 16 °C, 0, Rất kém
18, Bắc Ninh, 28°, Bầu trời quang đãng, 19°, 29°, 29°, 10 km, 1.16 km/giờ, 14 °C, 4.69, Rất kém
19, Hải Dương, 27°, Bầu trời quang đãng, 19°, 29°, 29°, 10 km, 1.84 km/giờ, 11 °C, 4.77, Rất kém
20, Hải Phòng, 27°, Mây rải rác, 20°, 28°, 28°, 10 km, 3.09 km/giờ, 18 °C, 0, Rất kém
21, Hưng Yên, 29°, Bầu trời quang đãng, 20°, 30°, 30°, 10 km, 1.78 km/giờ, 14 °C, 4.77, Rất kém
22, Thái Bình, 28°, Bầu trời quang đãng, 21°, 28°, 28°, 10 km, 2.87 km/giờ, 15 °C, 0, Rất kém
23, Hà Nam, 29°, Bầu trời quang đãng, 20°, 30°, 30°, 10 km, 1.57 km/giờ, 14 °C, 0, Rất kém
24, Nam Định, 29°, Bầu trời quang đãng, 20°, 29°, 29°, 10 km, 1.92 km/giờ, 14 °C, 0, Rất kém
25, Ninh Bình, 28°, Bầu trời quang đãng, 20°, 29°, 29°, 10 km, 2.22 km/giờ, 14 °C, 0, Rất kém
26, Thanh Hóa, 26°, Mây cụm, 19°, 28°, 28°, 10 km, 2.8 km/giờ, 17 °C, 0, Rất kém
27, Nghệ An, 25°, Mây rải rác, 21°, 27°, 27°, 10 km, 4.13 km/giờ, 19 °C, 0, Rất kém
28, Hà Tĩnh, 25°, Mây rải rác, 21°, 26°, 26°, 10 km, 3.91 km/giờ, 19 °C, 2.51, Rất kém
29, Quảng Bình, 26°, Mây cụm, 20°, 27°, 27°, 10 km, 2.71 km/giờ, 20 °C, 0, Rất kém
30, Quảng Trị, 25°, Mây cụm, 21°, 26°, 26°, 10 km, 4.56 km/giờ, 21 °C, 0, Kém
31, Thừa Thiên Huế, 27°, Mây rải rác, 21°, 27°, 27°, 10 km, 4.12 km/giờ, 21 °C, 0, Kém
32, Đà Nẵng, 29°, Mây thưa, 22°, 29°, 29°, 10 km, 4.63 km/giờ, 20 °C, 4.71, Kém
33, Quảng Nam, 25°, Mây cụm, 22°, 26°, 26°, 10 km, 4.8 km/giờ, 22 °C, 0, Kém
34, Quảng Ngãi, 26°, Mây cụm, 22°, 27°, 27°, 10 km, 4.83 km/giờ, 22 °C, 0, Kém
35, Bình Định, 26°, Nhiều mây, 23°, 27°, 27°, 10 km, 7.02 km/giờ, 23 °C, 0, Kém
36, Phú Yên, 26°, Nhiều mây, 20°, 28°, 28°, 10 km, 3.85 km/giờ, 21 °C, 0, Kém
37, Khánh Hòa, 29°, Nhiều mây, 22°, 30°, 30°, 10 km, 4.2 km/giờ, 21 °C, 0, Kém
38, Ninh Thuận, 30°, Mây rải rác, 22°, 31°, 31°, 10 km, 6.88 km/giờ, 21 °C, 0, Trung bình
39, Bình Thuận, 30°, Mây cụm, 21°, 32°, 32°, 10 km, 3.16 km/giờ, 20 °C, 0, Trung bình
40, Kon Tum, 26°, Nhiều mây, 17°, 30°, 30°, 10 km, 1.34 km/giờ, 20 °C, 0, Khá
41, Gia Lai, 26°, Mây cụm, 18°, 27°, 27°, 10 km, 4.07 km/giờ, 21 °C, 0, Khá
42, Đắk Lắk, 27°, Nhiều mây, 19°, 28°, 28°, 10 km, 3.83 km/giờ, 18 °C, 0, Khá
43, Đắk Nông, 27°, Nhiều mây, 19°, 28°, 28°, 10 km, 3.83 km/giờ, 18 °C, 0, Khá
44, Lâm Đồng, 28°, Mây cụm, 17°, 30°, 30°, 10 km, 1.82 km/giờ, 16 °C, 5.06, Khá
45, Bình Phước, 26°, Nhiều mây, 20°, 33°, 33°, 10 km, 1.18 km/giờ, 22 °C, 4.89, Khá
46, Tây Ninh, 30°, Nhiều mây, 23°, 32°, 32°, 10 km, 1.21 km/giờ, 22 °C, 0, Khá
47, Bình Dương, 33°, Mây rải rác, 23°, 33°, 33°, 10 km, 1.03 km/giờ, 23 °C, 4.73, Khá
48, Đồng Nai, 33°, Nhiều mây, 23°, 33°, 33°, 10 km, 1.94 km/giờ, 26 °C, 4.73, Khá
49, Bà Rịa - Vũng Tàu, 30°, Nhiều mây, 22°, 32°, 32°, 10 km, 3.07 km/giờ, 22 °C, 0, Trung bình
50, Hồ Chí Minh, 33°, Mây rải rác, 23°, 33°, 33°, 10 km, 1.03 km/giờ, 23 °C, 0, Kém
51, Long An, 30°, Nhiều mây, 23°, 31°, 31°, 10 km, 1.29 km/giờ, 23 °C, 4.39, Khá
52, Tiền Giang, 31°, Nhiều mây, 23°, 32°, 32°, 10 km, 1.62 km/giờ, 23 °C, 0, Khá
53, Bến Tre, 31°, Nhiều mây, 23°, 32°, 32°, 10 km, 1.77 km/giờ, 22 °C, 0, Khá
54, Trà Vinh, 31°, Nhiều mây, 23°, 32°, 32°, 10 km, 1.62 km/giờ, 23 °C, 3.89, Kém
55, Vĩnh Long, 30°, Nhiều mây, 23°, 32°, 32°, 10 km, 2 km/giờ, 21 °C, 0, Trung bình
56, Đồng Tháp, 30°, Nhiều mây, 24°, 32°, 32°, 10 km, 1.79 km/giờ, 21 °C, 4.76, Trung bình
57, An Giang, 30°, Nhiều mây, 24°, 31°, 31°, 10 km, 1.39 km/giờ, 21 °C, 0, Kém
58, Kiên Giang, 30°, Nhiều mây, 24°, 30°, 30°, 10 km, 0.38 km/giờ, 22 °C, 0, Kém
59, Cần Thơ, 30°, Mây rải rác, 24°, 32°, 32°, 10 km, 2.57 km/giờ, 23 °C, 0, Kém
60, Hậu Giang, 30°, Nhiều mây, 24°, 31°, 31°, 10 km, 1.01 km/giờ, 24 °C, 0, Kém
61, Sóc Trăng, 30°, Nhiều mây, 24°, 31°, 31°, 10 km, 2.6 km/giờ, 23 °C, 0, Kém
62, Bạc Liêu, 29°, Nhiều mây, 25°, 30°, 30°, 10 km, 4.98 km/giờ, 24 °C, 5.46, Kém
63, Cà Mau, 29°, Mưa nhẹ, 23°, 32°, 32°, 10 km, 3.47 km/giờ, 23 °C, 0, Kém
