1, Hà Giang, 26°, Mây rải rác, 16°, 28°, 28°, 10 km, 1.22 km/giờ, 16 °C, 0, Rất kém
52, Tiền Giang, 29°, Nhiều mây, 23°, 32°, 32°, 10 km, 2.19 km/giờ, 23 °C, 0, Kém
53, Bến Tre, 29°, Nhiều mây, 23°, 32°, 32°, 10 km, 2.04 km/giờ, 22 °C, 0, Kém
54, Trà Vinh, 29°, Nhiều mây, 23°, 32°, 32°, 10 km, 2.54 km/giờ, 23 °C, 0, Rất kém
55, Vĩnh Long, 29°, Nhiều mây, 23°, 32°, 32°, 10 km, 2.35 km/giờ, 23 °C, 5.74, Kém
56, Đồng Tháp, 29°, Nhiều mây, 24°, 31°, 31°, 10 km, 2.81 km/giờ, 22 °C, 0, Rất kém
57, An Giang, 29°, Nhiều mây, 24°, 31°, 31°, 10 km, 3.2 km/giờ, 21 °C, 0, Rất kém
58, Kiên Giang, 29°, Mưa nhẹ, 24°, 30°, 30°, 10 km, 4.93 km/giờ, 23 °C, 0, Rất kém
59, Cần Thơ, 29°, Mây thưa, 24°, 32°, 32°, 10 km, 3.6 km/giờ, 23 °C, 0, Kém
60, Hậu Giang, 29°, Nhiều mây, 23°, 31°, 31°, 10 km, 4.3 km/giờ, 23 °C, 0, Rất kém
61, Sóc Trăng, 29°, Nhiều mây, 24°, 31°, 31°, 10 km, 5.6 km/giờ, 23 °C, 0, Rất kém
62, Bạc Liêu, 28°, Mây cụm, 25°, 30°, 30°, 10 km, 8.15 km/giờ, 23 °C, 9.15, Rất kém
63, Cà Mau, 28°, Nhiều mây, 24°, 32°, 32°, 10 km, 5.1 km/giờ, 23 °C, 7.9, Kém
