Ninh Bình,20:34 16/10/2022,23°,Nhiều mây,21°,31°,63%,10 km,2.3 km/giờ,16 °C,0,Rất kém,Đã cập nhật 8 phút trước
Thanh Hóa,20:34 16/10/2022,24°,Nhiều mây,21°,30°,64%,10 km,2.29 km/giờ,16 °C,0,Rất kém,Đã cập nhật 11 phút trước
Nghệ An,20:34 16/10/2022,24°,Nhiều mây,21°,28°,69%,10 km,1.71 km/giờ,18 °C,0,Rất kém,Đã cập nhật 7 phút trước
Hà Tĩnh,20:34 16/10/2022,23°,Nhiều mây,21°,27°,71%,10 km,1.61 km/giờ,17 °C,0,Rất kém,Đã cập nhật 11 phút trước
Quảng Bình,20:34 16/10/2022,21°,Nhiều mây,20°,28°,78%,10 km,0.98 km/giờ,17 °C,0,Rất kém,Đã cập nhật 7 phút trước
Quảng Trị,20:34 16/10/2022,22°,Nhiều mây,20°,28°,78%,10 km,2.02 km/giờ,17 °C,0,Rất kém,Đã cập nhật 14 phút trước
Thừa Thiên Huế,20:34 16/10/2022,24°,Mây rải rác,20°,28°,83%,10 km,3.09 km/giờ,21 °C,0,Rất kém,Đã cập nhật 12 phút trước
Đà Nẵng,20:34 16/10/2022,26°,Mây rải rác,22°,28°,69%,10 km,1.54 km/giờ,20 °C,0,Rất kém,Đã cập nhật 9 phút trước
Quảng Nam,20:34 16/10/2022,24°,Nhiều mây,20°,29°,86%,10 km,3.19 km/giờ,21 °C,0,Rất kém,Đã cập nhật 13 phút trước
Quảng Ngãi,20:34 16/10/2022,24°,Nhiều mây,21°,29°,87%,10 km,3.7 km/giờ,21 °C,0,Rất kém,Đã cập nhật 9 phút trước
Bình Định,20:34 16/10/2022,25°,Nhiều mây,23°,28°,88%,10 km,6.1 km/giờ,23 °C,0,Trung bình,Đã cập nhật 6 phút trước
Phú Yên,20:34 16/10/2022,22°,Mây cụm,20°,29°,97%,10 km,0.95 km/giờ,22 °C,0,Tốt,Đã cập nhật 6 phút trước
Khánh Hòa,20:34 16/10/2022,28°,Mây cụm,23°,30°,94%,10 km,1.11 km/giờ,27 °C,0,Khá,Đã cập nhật 6 phút trước
Ninh Thuận,20:34 16/10/2022,25°,Nhiều mây,23°,29°,91%,10 km,1.39 km/giờ,23 °C,0,Trung bình,Đã cập nhật 6 phút trước
Bình Thuận,20:34 16/10/2022,23°,Nhiều mây,22°,28°,92%,10 km,0.63 km/giờ,22 °C,0,Kém,Đã cập nhật 6 phút trước
Kon Tum,20:34 16/10/2022,21°,Mưa nhẹ,17°,29°,95%,10 km,1.44 km/giờ,19 °C,0,Trung bình,Đã cập nhật 12 phút trước
Gia Lai,20:34 16/10/2022,21°,Nhiều mây,19°,28°,97%,10 km,1.05 km/giờ,21 °C,0,Kém,Đã cập nhật 12 phút trước
Đắk Lắk,20:34 16/10/2022,21°,Mây rải rác,18°,29°,98%,10 km,2.16 km/giờ,20 °C,0,Tốt,Đã cập nhật 7 phút trước
Đắk Nông,20:34 16/10/2022,21°,Mây rải rác,18°,29°,98%,10 km,2.16 km/giờ,20 °C,0,Tốt,Đã cập nhật 7 phút trước
Lâm Đồng,20:34 16/10/2022,20°,Nhiều mây,19°,25°,99%,10 km,0.09 km/giờ,20 °C,0,Kém,Đã cập nhật 14 phút trước
Bình Phước,20:34 16/10/2022,23°,Mây rải rác,21°,31°,96%,10 km,0.25 km/giờ,22 °C,0,Trung bình,Đã cập nhật 4 phút trước
Tây Ninh,20:34 16/10/2022,26°,Mây cụm,23°,32°,76%,10 km,2 km/giờ,22 °C,0,Kém,Đã cập nhật 5 phút trước
Bình Dương,20:34 16/10/2022,27°,Mây thưa,23°,31°,83%,10 km,2.57 km/giờ,24 °C,0,Rất kém,Đã cập nhật 4 phút trước
Đồng Nai,20:34 16/10/2022,27°,Nhiều mây,23°,31°,79%,10 km,1.17 km/giờ,23 °C,0,Rất kém,Đã cập nhật 4 phút trước
Bà Rịa - Vũng Tàu,20:34 16/10/2022,24°,Nhiều mây,23°,31°,87%,10 km,0.48 km/giờ,22 °C,0,Rất kém,Đã cập nhật 4 phút trước
Hồ Chí Minh,20:34 16/10/2022,27°,Mây thưa,23°,32°,83%,10 km,2.57 km/giờ,24 °C,0,Rất kém,Đã cập nhật 11 phút trước
Long An,20:34 16/10/2022,27°,Nhiều mây,23°,32°,72%,10 km,0.95 km/giờ,22 °C,0,Rất kém,Đã cập nhật 8 phút trước
Tiền Giang,20:34 16/10/2022,25°,Nhiều mây,23°,32°,84%,10 km,1.23 km/giờ,22 °C,0,Rất kém,Đã cập nhật 4 phút trước
Bến Tre,20:34 16/10/2022,25°,Nhiều mây,23°,32°,88%,10 km,1.24 km/giờ,23 °C,0,Rất kém,Đã cập nhật 2 phút trước
Trà Vinh,20:34 16/10/2022,25°,Nhiều mây,23°,32°,86%,10 km,2.03 km/giờ,23 °C,0,Rất kém,Đã cập nhật 2 phút trước
Vĩnh Long,20:34 16/10/2022,26°,Nhiều mây,24°,32°,77%,10 km,2.17 km/giờ,22 °C,0,Rất kém,Đã cập nhật 2 phút trước
Đồng Tháp,20:34 16/10/2022,26°,Mây thưa,24°,32°,75%,10 km,2.22 km/giờ,22 °C,0,Rất kém,Đã cập nhật 6 phút trước
An Giang,20:34 16/10/2022,26°,Bầu trời quang đãng,24°,32°,81%,10 km,2.64 km/giờ,22 °C,0,Rất kém,Đã cập nhật 2 phút trước
Kiên Giang,20:34 16/10/2022,26°,Bầu trời quang đãng,25°,30°,77%,10 km,2.9 km/giờ,22 °C,0,Kém,Đã cập nhật 5 phút trước
Cần Thơ,20:34 16/10/2022,26°,Mây thưa,24°,31°,89%,10 km,0.51 km/giờ,24 °C,0,Rất kém,Đã cập nhật 3 phút trước
Hậu Giang,20:34 16/10/2022,26°,Bầu trời quang đãng,24°,31°,88%,10 km,2.57 km/giờ,24 °C,0,Rất kém,Đã cập nhật 2 phút trước
Sóc Trăng,20:34 16/10/2022,25°,Mây thưa,23°,31°,89%,10 km,2.26 km/giờ,23 °C,0,Rất kém,Đã cập nhật 2 phút trước
Bạc Liêu,20:34 16/10/2022,26°,Mây thưa,24°,30°,84%,10 km,2.28 km/giờ,23 °C,0,Rất kém,Đã cập nhật 2 phút trước
Cà Mau,20:34 16/10/2022,24°,Bầu trời quang đãng,24°,31°,91%,10 km,1.27 km/giờ,23 °C,0,Rất kém,Đã cập nhật 4 phút trước
