1, Hà Giang, 2022-11-20, 21:14, 21°, Nhiều mây, 21°, 30°, 30°, 10 km, 0.75 km/giờ, 21 °C, 0, Kém
30, Quảng Trị, 2022-11-20, 21:14, 23°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.11 km/giờ, 22 °C, 0, Trung bình
31, Thừa Thiên Huế, 2022-11-20, 21:14, 27°, Mây cụm, 23°, 27°, 27°, 10 km, 4.63 km/giờ, 24 °C, 0, Khá
32, Đà Nẵng, 2022-11-20, 21:14, 27°, Mây rải rác, 24°, 27°, 27°, 10 km, 4.63 km/giờ, 23 °C, 0, Khá
33, Quảng Nam, 2022-11-20, 21:14, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 0.52 km/giờ, 23 °C, 0, Khá
34, Quảng Ngãi, 2022-11-20, 21:14, 23°, Nhiều mây, 23°, 28°, 28°, 7.19 km, 1.92 km/giờ, 22 °C, 0, Khá
35, Bình Định, 2022-11-20, 21:14, 23°, Nhiều mây, 23°, 27°, 27°, 2.13 km, 3.72 km/giờ, 23 °C, 0, Tốt
36, Phú Yên, 2022-11-20, 21:14, 21°, Mưa nhẹ, 21°, 26°, 26°, 4.42 km, 0.21 km/giờ, 21 °C, 0, Tốt
37, Khánh Hòa, 2022-11-20, 21:14, 24°, Nhiều mây, 23°, 26°, 26°, 10 km, 1.4 km/giờ, 23 °C, 0, Tốt
38, Ninh Thuận, 2022-11-20, 21:14, 24°, Nhiều mây, 23°, 28°, 28°, 10 km, 1.76 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-20, 21:14, 22°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 0.86 km/giờ, 21 °C, 0, Tốt
40, Kon Tum, 2022-11-20, 21:14, 20°, Mưa nhẹ, 19°, 29°, 29°, 10 km, 1.24 km/giờ, 19 °C, 0, Tốt
41, Gia Lai, 2022-11-20, 21:14, 20°, Nhiều mây, 20°, 26°, 26°, 9.89 km, 1.57 km/giờ, 20 °C, 0, Tốt
42, Đắk Lắk, 2022-11-20, 21:14, 20°, Nhiều mây, 19°, 27°, 27°, 10 km, 1.85 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-20, 21:14, 20°, Nhiều mây, 19°, 27°, 27°, 10 km, 1.85 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-20, 21:14, 19°, Nhiều mây, 18°, 24°, 24°, 10 km, 1.31 km/giờ, 19 °C, 0, Tốt
45, Bình Phước, 2022-11-20, 21:14, 22°, Mưa nhẹ, 21°, 28°, 28°, 10 km, 1.23 km/giờ, 21 °C, 0, Tốt
46, Tây Ninh, 2022-11-20, 21:14, 23°, Mưa vừa, 22°, 29°, 29°, 10 km, 3.64 km/giờ, 22 °C, 0, Tốt
47, Bình Dương, 2022-11-20, 21:14, 26°, Mây cụm, 22°, 28°, 28°, 10 km, 2.06 km/giờ, 26 °C, 0, Khá
48, Đồng Nai, 2022-11-20, 21:14, 26°, Nhiều mây, 23°, 28°, 28°, 10 km, 1.78 km/giờ, 25 °C, 0, Kém
49, Bà Rịa - Vũng Tàu, 2022-11-20, 21:14, 23°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.42 km/giờ, 22 °C, 0, Tốt
50, Hồ Chí Minh, 2022-11-20, 21:14, 26°, Mây cụm, 23°, 27°, 27°, 10 km, 2.06 km/giờ, 26 °C, 0, Rất kém
51, Long An, 2022-11-20, 21:14, 23°, Mưa vừa, 22°, 27°, 27°, 10 km, 3.19 km/giờ, 23 °C, 0, Tốt
52, Tiền Giang, 2022-11-20, 21:14, 23°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 2.3 km/giờ, 23 °C, 0, Khá
53, Bến Tre, 2022-11-20, 21:14, 23°, Mưa vừa, 22°, 29°, 29°, 10 km, 2.14 km/giờ, 23 °C, 0, Khá
54, Trà Vinh, 2022-11-20, 21:14, 23°, Mưa cường độ nặng, 23°, 29°, 29°, 10 km, 2.84 km/giờ, 22 °C, 0, Khá
55, Vĩnh Long, 2022-11-20, 21:14, 25°, Mưa vừa, 23°, 28°, 28°, 10 km, 3.08 km/giờ, 24 °C, 0, Tốt
56, Đồng Tháp, 2022-11-20, 21:14, 25°, Nhiều mây, 23°, 28°, 28°, 10 km, 4.25 km/giờ, 24 °C, 0, Tốt
57, An Giang, 2022-11-20, 21:14, 25°, Nhiều mây, 23°, 27°, 27°, 10 km, 4.36 km/giờ, 24 °C, 0, Khá
58, Kiên Giang, 2022-11-20, 21:14, 24°, Mưa nhẹ, 23°, 27°, 27°, 10 km, 4.84 km/giờ, 23 °C, 0, Tốt
59, Cần Thơ, 2022-11-20, 21:14, 25°, Mưa cường độ nặng, 23°, 27°, 27°, 10 km, 1.03 km/giờ, 24 °C, 0, Khá
60, Hậu Giang, 2022-11-20, 21:14, 25°, Mưa vừa, 23°, 27°, 27°, 10 km, 3.9 km/giờ, 24 °C, 0, Khá
61, Sóc Trăng, 2022-11-20, 21:14, 23°, Mưa cường độ nặng, 23°, 28°, 28°, 10 km, 3.08 km/giờ, 23 °C, 0, Khá
62, Bạc Liêu, 2022-11-20, 21:14, 23°, Mưa cường độ nặng, 23°, 26°, 26°, 10 km, 4.46 km/giờ, 23 °C, 0, Khá
63, Cà Mau, 2022-11-20, 21:14, 23°, Mưa vừa, 23°, 28°, 28°, 10 km, 2.61 km/giờ, 23 °C, 0, Khá
