1, Hà Giang, 2022-11-20, 09:02, 22°, Nhiều mây, 20°, 27°, 27°, 10 km, 0.72 km/giờ, 21 °C, 0, Khá
25, Ninh Bình, 2022-11-20, 09:02, 26°, Mây cụm, 23°, 29°, 29°, 10 km, 3.93 km/giờ, 21 °C, 2.47, Rất kém
26, Thanh Hóa, 2022-11-20, 09:02, 26°, Mây cụm, 22°, 28°, 28°, 10 km, 3.95 km/giờ, 21 °C, 2.23, Rất kém
27, Nghệ An, 2022-11-20, 09:02, 26°, Nhiều mây, 23°, 27°, 27°, 10 km, 3.69 km/giờ, 22 °C, 2.61, Rất kém
28, Hà Tĩnh, 2022-11-20, 09:02, 25°, Nhiều mây, 23°, 26°, 26°, 10 km, 3.34 km/giờ, 22 °C, 1.96, Rất kém
29, Quảng Bình, 2022-11-20, 09:02, 25°, Nhiều mây, 23°, 27°, 27°, 10 km, 1.7 km/giờ, 23 °C, 1.15, Kém
30, Quảng Trị, 2022-11-20, 09:02, 26°, Nhiều mây, 23°, 26°, 26°, 6.28 km, 5.02 km/giờ, 24 °C, 3.06, Khá
31, Thừa Thiên Huế, 2022-11-20, 09:02, 27°, Mây cụm, 23°, 27°, 27°, 10 km, 6.69 km/giờ, 25 °C, 0, Khá
32, Đà Nẵng, 2022-11-20, 09:02, 28°, Mây cụm, 24°, 28°, 28°, 10 km, 5.14 km/giờ, 24 °C, 3.53, Trung bình
33, Quảng Nam, 2022-11-20, 09:02, 25°, Nhiều mây, 22°, 25°, 25°, 8.99 km, 3.26 km/giờ, 23 °C, 1.12, Kém
34, Quảng Ngãi, 2022-11-20, 09:02, 24°, Nhiều mây, 22°, 27°, 27°, 3.51 km, 1.77 km/giờ, 23 °C, 0, Khá
35, Bình Định, 2022-11-20, 09:02, 25°, Mưa nhẹ, 23°, 26°, 26°, 10 km, 3.82 km/giờ, 23 °C, 0, Tốt
36, Phú Yên, 2022-11-20, 09:02, 23°, Mưa vừa, 21°, 26°, 26°, 10 km, 2.04 km/giờ, 22 °C, 0.42, Tốt
37, Khánh Hòa, 2022-11-20, 09:02, 24°, Mưa vừa, 22°, 27°, 27°, 10 km, 2.61 km/giờ, 23 °C, 0, Tốt
38, Ninh Thuận, 2022-11-20, 09:02, 22°, Mưa cường độ nặng, 22°, 27°, 27°, 3.78 km, 4.24 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-20, 09:02, 22°, Mưa vừa, 22°, 27°, 27°, 10 km, 0.46 km/giờ, 21 °C, 0.45, Tốt
40, Kon Tum, 2022-11-20, 09:02, 22°, Mưa nhẹ, 19°, 27°, 27°, 10 km, 1.01 km/giờ, 20 °C, 1.78, Tốt
41, Gia Lai, 2022-11-20, 09:02, 21°, Mưa vừa, 20°, 26°, 26°, 0.72 km, 1.89 km/giờ, 21 °C, 0.78, Tốt
42, Đắk Lắk, 2022-11-20, 09:02, 21°, Mưa vừa, 20°, 27°, 27°, 10 km, 2.85 km/giờ, 20 °C, 1.66, Tốt
43, Đắk Nông, 2022-11-20, 09:02, 21°, Mưa vừa, 20°, 27°, 27°, 10 km, 2.85 km/giờ, 20 °C, 1.66, Tốt
44, Lâm Đồng, 2022-11-20, 09:02, 19°, Mưa cường độ nặng, 19°, 23°, 23°, 10 km, 1.28 km/giờ, 19 °C, 0.45, Tốt
45, Bình Phước, 2022-11-20, 09:02, 21°, Mưa cường độ nặng, 21°, 27°, 27°, 10 km, 2.08 km/giờ, 21 °C, 0, Tốt
46, Tây Ninh, 2022-11-20, 09:02, 24°, Mưa nhẹ, 22°, 26°, 26°, 10 km, 4.45 km/giờ, 22 °C, 1.21, Tốt
47, Bình Dương, 2022-11-20, 09:02, 25°, Mưa vừa, 22°, 26°, 26°, 7 km, 1.03 km/giờ, 25 °C, 0, Tốt
48, Đồng Nai, 2022-11-20, 09:02, 25°, Mưa vừa, 22°, 25°, 25°, 6.3 km, 1.53 km/giờ, 25 °C, 1.33, Tốt
49, Bà Rịa - Vũng Tàu, 2022-11-20, 09:02, 22°, Mưa vừa, 22°, 25°, 25°, 10 km, 1.64 km/giờ, 22 °C, 0, Tốt
50, Hồ Chí Minh, 2022-11-20, 09:02, 25°, Mưa vừa, 22°, 25°, 25°, 7 km, 1.03 km/giờ, 24 °C, 1.33, Trung bình
51, Long An, 2022-11-20, 09:02, 25°, Mưa vừa, 22°, 25°, 25°, 10 km, 3.7 km/giờ, 22 °C, 0, Tốt
52, Tiền Giang, 2022-11-20, 09:02, 23°, Nhiều mây, 22°, 25°, 25°, 10 km, 2.31 km/giờ, 22 °C, 0, Tốt
53, Bến Tre, 2022-11-20, 09:02, 23°, Mưa nhẹ, 22°, 25°, 25°, 9.2 km, 1.93 km/giờ, 22 °C, 0, Tốt
54, Trà Vinh, 2022-11-20, 09:02, 23°, Mưa cường độ nặng, 22°, 26°, 26°, 9.29 km, 2.19 km/giờ, 22 °C, 2.16, Tốt
55, Vĩnh Long, 2022-11-20, 09:02, 25°, Mưa cường độ nặng, 22°, 26°, 26°, 10 km, 3.52 km/giờ, 22 °C, 1.92, Tốt
56, Đồng Tháp, 2022-11-20, 09:02, 25°, Mưa cường độ nặng, 23°, 25°, 25°, 10 km, 5.53 km/giờ, 21 °C, 1.92, Tốt
57, An Giang, 2022-11-20, 09:02, 25°, Mưa cường độ nặng, 23°, 26°, 26°, 10 km, 5.29 km/giờ, 22 °C, 0, Tốt
58, Kiên Giang, 2022-11-20, 09:02, 25°, Mưa cường độ nặng, 23°, 26°, 26°, 10 km, 5.27 km/giờ, 22 °C, 1.24, Tốt
59, Cần Thơ, 2022-11-20, 09:02, 25°, Mưa cường độ nặng, 22°, 26°, 26°, 10 km, 2.06 km/giờ, 24 °C, 1.92, Tốt
60, Hậu Giang, 2022-11-20, 09:02, 25°, Mưa vừa, 22°, 26°, 26°, 10 km, 4.58 km/giờ, 22 °C, 1.24, Khá
61, Sóc Trăng, 2022-11-20, 09:02, 24°, Mưa cường độ nặng, 22°, 26°, 26°, 10 km, 2.79 km/giờ, 22 °C, 0, Khá
62, Bạc Liêu, 2022-11-20, 09:02, 24°, Mưa vừa, 23°, 27°, 27°, 10 km, 3.17 km/giờ, 22 °C, 0, Khá
63, Cà Mau, 2022-11-20, 09:02, 25°, Mưa vừa, 22°, 28°, 28°, 10 km, 3.27 km/giờ, 22 °C, 0, Tốt
