1, Hà Giang, 2022-11-20, 00:00, 21°, Nhiều mây, 21°, 26°, 26°, 10 km, 0.42 km/giờ, 21 °C, 0, Khá
35, Bình Định, 2022-11-20, 00:00, 24°, Mưa vừa, 23°, 27°, 27°, 10 km, 3.38 km/giờ, 22 °C, 0, Tốt
36, Phú Yên, 2022-11-20, 00:00, 21°, Mưa vừa, 21°, 26°, 26°, 4.33 km, 1.13 km/giờ, 21 °C, 0, Tốt
37, Khánh Hòa, 2022-11-20, 00:00, 25°, Nhiều mây, 22°, 28°, 28°, 4.63 km, 1.67 km/giờ, 24 °C, 0, Tốt
38, Ninh Thuận, 2022-11-20, 00:00, 22°, Nhiều mây, 22°, 28°, 28°, 6.78 km, 4.35 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-20, 00:00, 21°, Mưa nhẹ, 21°, 26°, 26°, 10 km, 1.66 km/giờ, 20 °C, 0, Tốt
40, Kon Tum, 2022-11-20, 00:00, 21°, Nhiều mây, 19°, 25°, 25°, 10 km, 1.61 km/giờ, 18 °C, 0, Tốt
41, Gia Lai, 2022-11-20, 00:00, 20°, Mưa vừa, 20°, 26°, 26°, 10 km, 1.17 km/giờ, 20 °C, 0, Tốt
42, Đắk Lắk, 2022-11-20, 00:00, 20°, Mưa cường độ nặng, 19°, 26°, 26°, 10 km, 3.03 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-20, 00:00, 20°, Mưa cường độ nặng, 19°, 26°, 26°, 10 km, 3.03 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-20, 00:00, 18°, Nhiều mây, 17°, 23°, 23°, 10 km, 1.39 km/giờ, 17 °C, 0, Tốt
45, Bình Phước, 2022-11-20, 00:00, 22°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.96 km/giờ, 20 °C, 0, Tốt
46, Tây Ninh, 2022-11-20, 00:00, 24°, Mưa vừa, 22°, 28°, 28°, 10 km, 2.59 km/giờ, 21 °C, 0, Tốt
47, Bình Dương, 2022-11-20, 00:00, 25°, Mưa vừa, 22°, 29°, 29°, 10 km, 1.03 km/giờ, 25 °C, 0, Tốt
48, Đồng Nai, 2022-11-20, 00:00, 25°, Mưa vừa, 22°, 29°, 29°, 10 km, 1.42 km/giờ, 23 °C, 0, Tốt
49, Bà Rịa - Vũng Tàu, 2022-11-20, 00:00, 22°, Nhiều mây, 22°, 29°, 29°, 10 km, 0.67 km/giờ, 21 °C, 0, Khá
50, Hồ Chí Minh, 2022-11-20, 00:00, 25°, Mây cụm, 22°, 28°, 28°, 10 km, 1.03 km/giờ, 25 °C, 0, Khá
51, Long An, 2022-11-20, 00:00, 23°, Nhiều mây, 22°, 27°, 27°, 10 km, 1.59 km/giờ, 21 °C, 0, Tốt
52, Tiền Giang, 2022-11-20, 00:00, 23°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.42 km/giờ, 22 °C, 0, Khá
53, Bến Tre, 2022-11-20, 00:00, 23°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.37 km/giờ, 22 °C, 0, Khá
54, Trà Vinh, 2022-11-20, 00:00, 23°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.68 km/giờ, 22 °C, 0, Kém
55, Vĩnh Long, 2022-11-20, 00:00, 25°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.64 km/giờ, 23 °C, 0, Khá
56, Đồng Tháp, 2022-11-20, 00:00, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 1.49 km/giờ, 22 °C, 0, Tốt
57, An Giang, 2022-11-20, 00:00, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 1.62 km/giờ, 22 °C, 0, Tốt
58, Kiên Giang, 2022-11-20, 00:00, 24°, Nhiều mây, 23°, 26°, 26°, 10 km, 3.35 km/giờ, 21 °C, 0, Tốt
59, Cần Thơ, 2022-11-20, 00:00, 25°, Mây rải rác, 22°, 30°, 30°, 10 km, 1.03 km/giờ, 23 °C, 0, Khá
60, Hậu Giang, 2022-11-20, 00:00, 25°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 2.27 km/giờ, 23 °C, 0, Trung bình
61, Sóc Trăng, 2022-11-20, 00:00, 23°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.84 km/giờ, 22 °C, 0, Kém
62, Bạc Liêu, 2022-11-20, 00:00, 24°, Nhiều mây, 23°, 29°, 29°, 10 km, 2.44 km/giờ, 22 °C, 0, Kém
63, Cà Mau, 2022-11-20, 00:00, 23°, Nhiều mây, 23°, 28°, 28°, 10 km, 1.81 km/giờ, 22 °C, 0, Trung bình
