1, Hà Giang, 2022-11-20, 08:24, 21°, Nhiều mây, 21°, 27°, 27°, 10 km, 0.63 km/giờ, 21 °C, 0, Khá
28, Hà Tĩnh, 2022-11-20, 08:24, 25°, Nhiều mây, 23°, 26°, 26°, 10 km, 3.3 km/giờ, 22 °C, 0.72, Rất kém
29, Quảng Bình, 2022-11-20, 08:24, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 1.73 km/giờ, 23 °C, 0, Kém
30, Quảng Trị, 2022-11-20, 08:24, 25°, Nhiều mây, 23°, 26°, 26°, 10 km, 5.35 km/giờ, 23 °C, 1.22, Khá
31, Thừa Thiên Huế, 2022-11-20, 08:24, 27°, Mây cụm, 23°, 27°, 27°, 10 km, 6.69 km/giờ, 25 °C, 1.22, Khá
32, Đà Nẵng, 2022-11-20, 08:24, 28°, Mây cụm, 24°, 27°, 27°, 10 km, 4.12 km/giờ, 24 °C, 1.46, Trung bình
33, Quảng Nam, 2022-11-20, 08:24, 25°, Nhiều mây, 23°, 26°, 26°, 5.02 km, 3.3 km/giờ, 23 °C, 0.47, Kém
34, Quảng Ngãi, 2022-11-20, 08:24, 23°, Nhiều mây, 22°, 27°, 27°, 4.48 km, 1.47 km/giờ, 23 °C, 0, Khá
35, Bình Định, 2022-11-20, 08:24, 25°, Nhiều mây, 23°, 27°, 27°, 10 km, 4.59 km/giờ, 23 °C, 0.21, Tốt
36, Phú Yên, 2022-11-20, 08:24, 21°, Mưa cường độ nặng, 21°, 25°, 25°, 10 km, 1.87 km/giờ, 21 °C, 0.18, Tốt
37, Khánh Hòa, 2022-11-20, 08:24, 24°, Mưa cường độ nặng, 22°, 26°, 26°, 1.85 km, 3.05 km/giờ, 24 °C, 0.09, Tốt
38, Ninh Thuận, 2022-11-20, 08:24, 22°, Mưa cường độ nặng, 22°, 26°, 26°, 7.38 km, 2.82 km/giờ, 22 °C, 0.12, Tốt
39, Bình Thuận, 2022-11-20, 08:24, 21°, Mưa rất nặng, 21°, 29°, 29°, 7.98 km, 1.02 km/giờ, 21 °C, 0.2, Tốt
40, Kon Tum, 2022-11-20, 08:24, 21°, Nhiều mây, 19°, 27°, 27°, 10 km, 0.76 km/giờ, 20 °C, 0.75, Tốt
41, Gia Lai, 2022-11-20, 08:24, 21°, Mưa vừa, 20°, 25°, 25°, 10 km, 1.13 km/giờ, 21 °C, 0, Tốt
42, Đắk Lắk, 2022-11-20, 08:24, 20°, Nhiều mây, 19°, 26°, 26°, 10 km, 2.79 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-20, 08:24, 20°, Nhiều mây, 19°, 26°, 26°, 10 km, 2.79 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-20, 08:24, 18°, Mưa vừa, 18°, 25°, 25°, 6.8 km, 1.29 km/giờ, 18 °C, 0, Tốt
45, Bình Phước, 2022-11-20, 08:24, 21°, Mưa vừa, 21°, 24°, 24°, 10 km, 1.74 km/giờ, 21 °C, 0, Tốt
46, Tây Ninh, 2022-11-20, 08:24, 24°, Mưa vừa, 22°, 25°, 25°, 10 km, 4.49 km/giờ, 22 °C, 0.49, Tốt
47, Bình Dương, 2022-11-20, 08:24, 25°, Mưa vừa, 22°, 25°, 25°, 7 km, 0.51 km/giờ, 25 °C, 0, Tốt
48, Đồng Nai, 2022-11-20, 08:24, 25°, Mưa vừa, 22°, 25°, 25°, 10 km, 2.26 km/giờ, 24 °C, 0, Tốt
49, Bà Rịa - Vũng Tàu, 2022-11-20, 08:24, 23°, Mưa nhẹ, 22°, 27°, 27°, 6.39 km, 0.87 km/giờ, 22 °C, 0.21, Tốt
50, Hồ Chí Minh, 2022-11-20, 08:24, 25°, Mưa vừa, 22°, 25°, 25°, 5 km, 1.03 km/giờ, 25 °C, 0.55, Trung bình
51, Long An, 2022-11-20, 08:24, 24°, Mưa cường độ nặng, 22°, 25°, 25°, 10 km, 3.35 km/giờ, 22 °C, 0.39, Tốt
52, Tiền Giang, 2022-11-20, 08:24, 24°, Mưa nhẹ, 22°, 25°, 25°, 10 km, 2.56 km/giờ, 22 °C, 0, Tốt
53, Bến Tre, 2022-11-20, 08:24, 24°, Mưa vừa, 22°, 25°, 25°, 10 km, 2.26 km/giờ, 22 °C, 0, Tốt
54, Trà Vinh, 2022-11-20, 08:24, 24°, Mưa vừa, 22°, 25°, 25°, 10 km, 2.9 km/giờ, 22 °C, 0, Tốt
55, Vĩnh Long, 2022-11-20, 08:24, 25°, Mưa cường độ nặng, 22°, 26°, 26°, 10 km, 3.76 km/giờ, 23 °C, 0.78, Tốt
56, Đồng Tháp, 2022-11-20, 08:24, 25°, Mưa cường độ nặng, 23°, 26°, 26°, 10 km, 4.59 km/giờ, 23 °C, 0.78, Tốt
57, An Giang, 2022-11-20, 08:24, 25°, Mưa cường độ nặng, 23°, 26°, 26°, 10 km, 4.87 km/giờ, 22 °C, 0, Tốt
58, Kiên Giang, 2022-11-20, 08:24, 24°, Mưa vừa, 23°, 28°, 28°, 10 km, 5.74 km/giờ, 22 °C, 0.49, Tốt
59, Cần Thơ, 2022-11-20, 08:24, 25°, Mưa cường độ nặng, 22°, 27°, 27°, 10 km, 1.03 km/giờ, 24 °C, 0, Tốt
60, Hậu Giang, 2022-11-20, 08:24, 25°, Mưa cường độ nặng, 23°, 28°, 28°, 10 km, 4.41 km/giờ, 23 °C, 0, Khá
61, Sóc Trăng, 2022-11-20, 08:24, 24°, Mưa cường độ nặng, 23°, 26°, 26°, 10 km, 3.38 km/giờ, 22 °C, 0, Khá
62, Bạc Liêu, 2022-11-20, 08:24, 24°, Mưa vừa, 23°, 28°, 28°, 10 km, 4.08 km/giờ, 22 °C, 0.8, Khá
63, Cà Mau, 2022-11-20, 08:24, 24°, Mưa vừa, 22°, 28°, 28°, 10 km, 2.71 km/giờ, 22 °C, 0, Tốt
