1, Hà Giang, 2022-11-20, 10:12, 23°, Nhiều mây, 20°, 27°, 27°, 10 km, 1.12 km/giờ, 22 °C, 0, Trung bình
20, Hải Phòng, 2022-11-20, 10:12, 28°, Bầu trời quang đãng, 22°, 29°, 29°, 10 km, 4.12 km/giờ, 21 °C, 0, Rất kém
21, Hưng Yên, 2022-11-20, 10:12, 28°, Mây cụm, 22°, 30°, 30°, 10 km, 2.13 km/giờ, 20 °C, 0, Rất kém
22, Thái Bình, 2022-11-20, 10:12, 28°, Mây cụm, 24°, 28°, 28°, 10 km, 4.58 km/giờ, 20 °C, 4.81, Rất kém
23, Hà Nam, 2022-11-20, 10:12, 28°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.13 km/giờ, 20 °C, 4.73, Rất kém
24, Nam Định, 2022-11-20, 10:12, 28°, Mây cụm, 23°, 29°, 29°, 10 km, 3.65 km/giờ, 20 °C, 0, Rất kém
25, Ninh Bình, 2022-11-20, 10:12, 27°, Mây cụm, 23°, 29°, 29°, 10 km, 4.02 km/giờ, 21 °C, 4.48, Rất kém
26, Thanh Hóa, 2022-11-20, 10:12, 27°, Mây cụm, 22°, 28°, 28°, 10 km, 4.41 km/giờ, 21 °C, 0, Rất kém
27, Nghệ An, 2022-11-20, 10:12, 26°, Nhiều mây, 23°, 27°, 27°, 10 km, 4.22 km/giờ, 22 °C, 0, Rất kém
28, Hà Tĩnh, 2022-11-20, 10:12, 25°, Nhiều mây, 23°, 26°, 26°, 10 km, 3.64 km/giờ, 22 °C, 3.52, Rất kém
29, Quảng Bình, 2022-11-20, 10:12, 25°, Nhiều mây, 23°, 26°, 26°, 10 km, 1.75 km/giờ, 23 °C, 2.04, Kém
30, Quảng Trị, 2022-11-20, 10:12, 26°, Nhiều mây, 23°, 26°, 26°, 7.75 km, 5.37 km/giờ, 24 °C, 0, Khá
31, Thừa Thiên Huế, 2022-11-20, 10:12, 28°, Mây rải rác, 23°, 28°, 28°, 10 km, 6.69 km/giờ, 25 °C, 5.08, Kém
32, Đà Nẵng, 2022-11-20, 10:12, 28°, Mây rải rác, 24°, 28°, 28°, 10 km, 5.14 km/giờ, 24 °C, 0, Kém
33, Quảng Nam, 2022-11-20, 10:12, 25°, Nhiều mây, 22°, 25°, 25°, 6.34 km, 2.6 km/giờ, 23 °C, 1.89, Kém
34, Quảng Ngãi, 2022-11-20, 10:12, 24°, Nhiều mây, 22°, 27°, 27°, 4.05 km, 2.13 km/giờ, 23 °C, 2.38, Khá
35, Bình Định, 2022-11-20, 10:12, 26°, Mưa rất nặng, 23°, 26°, 26°, 10 km, 4.07 km/giờ, 23 °C, 0.83, Tốt
36, Phú Yên, 2022-11-20, 10:12, 22°, Mưa vừa, 21°, 26°, 26°, 10 km, 1.87 km/giờ, 21 °C, 0, Tốt
37, Khánh Hòa, 2022-11-20, 10:12, 24°, Mưa vừa, 23°, 27°, 27°, 6.14 km, 2.44 km/giờ, 23 °C, 0.33, Tốt
38, Ninh Thuận, 2022-11-20, 10:12, 22°, Nhiều mây, 22°, 27°, 27°, 1.22 km, 1.91 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-20, 10:12, 22°, Mưa vừa, 22°, 27°, 27°, 10 km, 0.62 km/giờ, 21 °C, 0, Tốt
40, Kon Tum, 2022-11-20, 10:12, 22°, Mưa nhẹ, 19°, 27°, 27°, 10 km, 0.63 km/giờ, 21 °C, 0, Tốt
41, Gia Lai, 2022-11-20, 10:12, 22°, Mưa nhẹ, 20°, 26°, 26°, 0.61 km, 1.51 km/giờ, 21 °C, 0, Tốt
42, Đắk Lắk, 2022-11-20, 10:12, 22°, Mưa vừa, 20°, 27°, 27°, 10 km, 2.96 km/giờ, 19 °C, 2.76, Tốt
43, Đắk Nông, 2022-11-20, 10:12, 22°, Mưa vừa, 20°, 27°, 27°, 10 km, 2.96 km/giờ, 19 °C, 2.76, Tốt
44, Lâm Đồng, 2022-11-20, 10:12, 20°, Mưa cường độ nặng, 19°, 23°, 23°, 10 km, 0.98 km/giờ, 19 °C, 0, Tốt
45, Bình Phước, 2022-11-20, 10:12, 22°, Mưa cường độ nặng, 21°, 27°, 27°, 10 km, 1.75 km/giờ, 22 °C, 0, Tốt
46, Tây Ninh, 2022-11-20, 10:12, 25°, Mưa vừa, 22°, 26°, 26°, 10 km, 4.47 km/giờ, 22 °C, 2.07, Tốt
47, Bình Dương, 2022-11-20, 10:12, 25°, Mưa cường độ nặng, 22°, 26°, 26°, 8 km, 2.06 km/giờ, 25 °C, 0, Tốt
48, Đồng Nai, 2022-11-20, 10:12, 25°, Mưa vừa, 22°, 25°, 25°, 10 km, 2.42 km/giờ, 24 °C, 0, Tốt
49, Bà Rịa - Vũng Tàu, 2022-11-20, 10:12, 23°, Mưa nhẹ, 22°, 26°, 26°, 10 km, 2.03 km/giờ, 22 °C, 0, Tốt
50, Hồ Chí Minh, 2022-11-20, 10:12, 25°, Mưa vừa, 22°, 25°, 25°, 8 km, 2.06 km/giờ, 25 °C, 0, Khá
51, Long An, 2022-11-20, 10:12, 24°, Mưa vừa, 22°, 25°, 25°, 9.08 km, 3.73 km/giờ, 22 °C, 0, Tốt
52, Tiền Giang, 2022-11-20, 10:12, 22°, Mưa vừa, 22°, 26°, 26°, 3.78 km, 2.45 km/giờ, 22 °C, 0, Tốt
53, Bến Tre, 2022-11-20, 10:12, 22°, Mưa vừa, 22°, 25°, 25°, 4.11 km, 2.1 km/giờ, 22 °C, 3.59, Tốt
54, Trà Vinh, 2022-11-20, 10:12, 23°, Mưa vừa, 22°, 26°, 26°, 10 km, 2.62 km/giờ, 22 °C, 0, Tốt
55, Vĩnh Long, 2022-11-20, 10:12, 25°, Mưa nhẹ, 22°, 26°, 26°, 10 km, 2.81 km/giờ, 23 °C, 0, Tốt
56, Đồng Tháp, 2022-11-20, 10:12, 25°, Mưa vừa, 23°, 25°, 25°, 10 km, 5.57 km/giờ, 21 °C, 3.32, Tốt
57, An Giang, 2022-11-20, 10:12, 25°, Mưa vừa, 23°, 25°, 25°, 10 km, 5.96 km/giờ, 20 °C, 1.89, Khá
58, Kiên Giang, 2022-11-20, 10:12, 26°, Mưa cường độ nặng, 23°, 26°, 26°, 10 km, 4.89 km/giờ, 22 °C, 2.14, Khá
59, Cần Thơ, 2022-11-20, 10:12, 25°, Mưa vừa, 22°, 26°, 26°, 10 km, 3.09 km/giờ, 24 °C, 0, Khá
60, Hậu Giang, 2022-11-20, 10:12, 25°, Mưa cường độ nặng, 22°, 26°, 26°, 10 km, 4.87 km/giờ, 21 °C, 2.14, Khá
61, Sóc Trăng, 2022-11-20, 10:12, 24°, Mưa cường độ nặng, 22°, 26°, 26°, 10 km, 2.95 km/giờ, 22 °C, 0, Khá
62, Bạc Liêu, 2022-11-20, 10:12, 24°, Mưa cường độ nặng, 23°, 27°, 27°, 10 km, 3.28 km/giờ, 22 °C, 3.4, Khá
63, Cà Mau, 2022-11-20, 10:12, 26°, Mưa vừa, 22°, 28°, 28°, 10 km, 3.61 km/giờ, 22 °C, 0, Tốt
