22,Thái Bình,2022-11-20,00:00,25,Mây đen u ám,24,29,0.81,10.0,5.76,21,0.0,Rất kém
23,Hà Nam,2022-11-20,00:00,24,Mây đen u ám,23,30,0.83,10.0,2.23,21,0.0,Rất kém
24,Nam Định,2022-11-20,00:00,24,Mây đen u ám,23,30,0.82,10.0,3.46,21,0.0,Rất kém
25,Ninh Bình,2022-11-20,00:00,24,Mây đen u ám,23,30,0.85,10.0,4.75,21,0.0,Rất kém
26,Thanh Hóa,2022-11-20,00:00,23,Mây đen u ám,22,29,0.89,10.0,5.83,22,0.0,Rất kém
27,Nghệ An,2022-11-20,00:00,23,Mây đen u ám,22,28,0.91,10.0,9.72,22,0.0,Khá
28,Hà Tĩnh,2022-11-20,00:00,23,Mây đen u ám,23,27,0.92,10.0,7.7,22,0.0,Khá
29,Quảng Bình,2022-11-20,00:00,24,Mây đen u ám,24,27,0.91,10.0,7.63,22,0.0,Khá
30,Quảng Trị,2022-11-20,00:00,23,Mây đen u ám,23,27,0.92,10.0,6.37,22,0.0,Khá
31,Thừa Thiên Huế,2022-11-20,00:00,27,Mưa nhẹ,22,27,0.89,10.0,18.5,25,0.0,Khá
32,Đà Nẵng,2022-11-20,00:00,27,Mây rải rác,24,27,0.83,10.0,11.12,24,0.0,Khá
33,Quảng Nam,2022-11-20,00:00,23,Mây đen u ám,23,24,0.93,10.0,3.96,22,0.0,Trung bình
34,Quảng Ngãi,2022-11-20,00:00,23,Mây đen u ám,23,25,0.94,10.0,6.98,22,0.0,Khá
35,Bình Định,2022-11-20,00:00,24,Mưa vừa,23,27,0.91,9.73,12.67,22,0.0,Tốt
36,Phú Yên,2022-11-20,00:00,23,Mưa vừa,23,27,0.94,4.74,6.7,22,0.0,Tốt
37,Khánh Hòa,2022-11-20,00:00,24,Mưa vừa,22,28,0.93,5.02,10.4,24,0.0,Tốt
38,Ninh Thuận,2022-11-20,00:00,22,Mây đen u ám,22,28,0.96,7.1,15.26,22,0.0,Tốt
39,Bình Thuận,2022-11-20,00:00,23,Mây đen u ám,23,27,0.91,10.0,6.8,22,0.0,Tốt
40,Kon Tum,2022-11-20,00:00,21,Mây đen u ám,19,25,0.86,10.0,5.8,19,0.0,Tốt
41,Gia Lai,2022-11-20,00:00,20,Mây đen u ám,19,27,0.93,10.0,5.54,19,0.0,Tốt
42,Đắk Lắk,2022-11-20,00:00,20,Mưa cường độ nặng,19,26,0.95,10.0,10.91,19,0.0,Tốt
43,Đắk Nông,2022-11-20,00:00,20,Mưa cường độ nặng,19,26,0.95,10.0,10.91,19,0.0,Tốt
44,Lâm Đồng,2022-11-20,00:00,18,Mây đen u ám,17,23,0.98,10.0,5.0,17,0.0,Tốt
45,Bình Phước,2022-11-20,00:00,22,Mây đen u ám,21,29,0.92,10.0,5.98,21,0.0,Tốt
46,Tây Ninh,2022-11-20,00:00,24,Mưa vừa,22,28,0.82,10.0,9.79,21,0.0,Tốt
47,Bình Dương,2022-11-20,00:00,24,Mưa vừa,22,29,0.85,10.0,8.35,21,0.0,Tốt
48,Đồng Nai,2022-11-20,00:00,25,Mưa nhẹ,22,29,0.91,10.0,5.54,23,0.0,Tốt
49,Bà Rịa - Vũng Tàu,2022-11-20,00:00,22,Mây đen u ám,22,29,0.94,10.0,2.41,21,0.0,Khá
50,Hồ Chí Minh,2022-11-20,00:00,25,Mưa nhẹ,22,28,1.0,10.0,7.42,25,0.0,Tốt
51,Long An,2022-11-20,00:00,23,Mây đen u ám,22,27,0.9,10.0,5.72,21,0.0,Tốt
52,Tiền Giang,2022-11-20,00:00,23,Mây đen u ám,22,28,0.94,10.0,5.11,22,0.0,Khá
53,Bến Tre,2022-11-20,00:00,23,Mây đen u ám,22,29,0.97,10.0,4.68,22,0.0,Kém
54,Trà Vinh,2022-11-20,00:00,23,Mây đen u ám,22,28,0.94,10.0,7.2,22,0.0,Kém
55,Vĩnh Long,2022-11-20,00:00,25,Mây đen u ám,22,29,0.91,10.0,6.26,23,0.0,Trung bình
56,Đồng Tháp,2022-11-20,00:00,25,Mây đen u ám,23,28,0.86,10.0,5.83,22,0.0,Khá
57,An Giang,2022-11-20,00:00,25,Mây đen u ám,22,27,0.82,10.0,5.83,22,0.0,Tốt
58,Kiên Giang,2022-11-20,00:00,24,Mưa nhẹ,23,27,0.82,10.0,10.62,21,0.0,Tốt
59,Cần Thơ,2022-11-20,00:00,25,Mưa nhẹ,22,29,0.89,10.0,6.73,23,0.0,Khá
60,Hậu Giang,2022-11-20,00:00,25,Mưa nhẹ,22,28,0.88,10.0,8.1,23,0.0,Trung bình
61,Sóc Trăng,2022-11-20,00:00,23,Mây đen u ám,22,29,0.92,10.0,6.62,22,0.0,Kém
62,Bạc Liêu,2022-11-20,00:00,24,Mây đen u ám,23,29,0.89,10.0,9.0,22,0.0,Kém
63,Cà Mau,2022-11-20,00:00,23,Mây đen u ám,23,28,0.92,10.0,6.52,22,0.0,Trung bình
