1, Hà Giang, 2022-11-19, 12:05, 23°, Nhiều mây, 20°, 27°, 27°, 10 km, 1.12 km/giờ, 22 °C, 0, Khá
34, Quảng Ngãi, 2022-11-19, 12:05, 24°, Mưa cường độ nặng, 23°, 27°, 27°, 10 km, 2.64 km/giờ, 22 °C, 0, Tốt
35, Bình Định, 2022-11-19, 12:05, 24°, Nhiều mây, 23°, 26°, 26°, 3.06 km, 6.43 km/giờ, 23 °C, 0, Tốt
36, Phú Yên, 2022-11-19, 12:05, 22°, Nhiều mây, 21°, 24°, 24°, 0.85 km, 2.3 km/giờ, 22 °C, 1.36, Tốt
37, Khánh Hòa, 2022-11-19, 12:05, 27°, Nhiều mây, 22°, 28°, 28°, 1.14 km, 1.92 km/giờ, 27 °C, 0, Tốt
38, Ninh Thuận, 2022-11-19, 12:05, 23°, Nhiều mây, 22°, 28°, 28°, 5.03 km, 2.82 km/giờ, 22 °C, 0.58, Tốt
39, Bình Thuận, 2022-11-19, 12:05, 22°, Nhiều mây, 21°, 28°, 28°, 7.44 km, 1.23 km/giờ, 21 °C, 1.49, Tốt
40, Kon Tum, 2022-11-19, 12:05, 25°, Nhiều mây, 19°, 27°, 27°, 10 km, 2.01 km/giờ, 19 °C, 0, Tốt
41, Gia Lai, 2022-11-19, 12:05, 22°, Mưa vừa, 19°, 25°, 25°, 10 km, 2.18 km/giờ, 20 °C, 0, Tốt
42, Đắk Lắk, 2022-11-19, 12:05, 20°, Nhiều mây, 19°, 23°, 23°, 10 km, 1.71 km/giờ, 20 °C, 0, Tốt
43, Đắk Nông, 2022-11-19, 12:05, 20°, Nhiều mây, 19°, 23°, 23°, 10 km, 1.71 km/giờ, 20 °C, 0, Tốt
44, Lâm Đồng, 2022-11-19, 12:05, 19°, Nhiều mây, 18°, 26°, 26°, 3.86 km, 0.58 km/giờ, 19 °C, 0, Khá
45, Bình Phước, 2022-11-19, 12:05, 26°, Nhiều mây, 20°, 26°, 26°, 10 km, 2.15 km/giờ, 21 °C, 0, Tốt
46, Tây Ninh, 2022-11-19, 12:05, 28°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.96 km/giờ, 23 °C, 7.4, Tốt
47, Bình Dương, 2022-11-19, 12:05, 28°, Mây cụm, 22°, 28°, 28°, 10 km, 2.57 km/giờ, 25 °C, 0, Tốt
48, Đồng Nai, 2022-11-19, 12:05, 28°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 2.15 km/giờ, 25 °C, 0, Tốt
49, Bà Rịa - Vũng Tàu, 2022-11-19, 12:05, 24°, Mưa nhẹ, 22°, 25°, 25°, 10 km, 1.05 km/giờ, 22 °C, 3.01, Tốt
50, Hồ Chí Minh, 2022-11-19, 12:05, 28°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 2.57 km/giờ, 25 °C, 6.35, Khá
51, Long An, 2022-11-19, 12:05, 28°, Mưa vừa, 22°, 28°, 28°, 10 km, 4.03 km/giờ, 23 °C, 0, Khá
52, Tiền Giang, 2022-11-19, 12:05, 26°, Nhiều mây, 21°, 27°, 27°, 10 km, 2.62 km/giờ, 24 °C, 0, Kém
53, Bến Tre, 2022-11-19, 12:05, 25°, Nhiều mây, 21°, 26°, 26°, 10 km, 2.07 km/giờ, 23 °C, 3.47, Kém
54, Trà Vinh, 2022-11-19, 12:05, 26°, Nhiều mây, 21°, 26°, 26°, 10 km, 2.14 km/giờ, 23 °C, 3, Rất kém
55, Vĩnh Long, 2022-11-19, 12:05, 27°, Mưa nhẹ, 21°, 27°, 27°, 10 km, 1.86 km/giờ, 24 °C, 0, Kém
56, Đồng Tháp, 2022-11-19, 12:05, 27°, Nhiều mây, 22°, 27°, 27°, 10 km, 3.5 km/giờ, 23 °C, 3.75, Khá
57, An Giang, 2022-11-19, 12:05, 27°, Nhiều mây, 22°, 27°, 27°, 10 km, 3.26 km/giờ, 22 °C, 4.26, Kém
58, Kiên Giang, 2022-11-19, 12:05, 26°, Nhiều mây, 22°, 26°, 26°, 10 km, 2.79 km/giờ, 23 °C, 0, Trung bình
59, Cần Thơ, 2022-11-19, 12:05, 27°, Mây cụm, 21°, 27°, 27°, 10 km, 2.57 km/giờ, 24 °C, 0, Kém
60, Hậu Giang, 2022-11-19, 12:05, 27°, Nhiều mây, 22°, 27°, 27°, 10 km, 3.5 km/giờ, 24 °C, 0, Kém
61, Sóc Trăng, 2022-11-19, 12:05, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 3.28 km/giờ, 23 °C, 3.98, Rất kém
62, Bạc Liêu, 2022-11-19, 12:05, 26°, Nhiều mây, 22°, 26°, 26°, 10 km, 4.37 km/giờ, 23 °C, 0, Kém
63, Cà Mau, 2022-11-19, 12:05, 26°, Nhiều mây, 22°, 27°, 27°, 10 km, 2.55 km/giờ, 23 °C, 0, Trung bình
