1, Hà Giang, 2022-11-19, 00:37, 22°, Mây cụm, 20°, 27°, 27°, 10 km, 0.59 km/giờ, 21 °C, 0, Kém
17, Vĩnh Phúc, 2022-11-19, 00:37, 26°, Mây cụm, 22°, 30°, 30°, 10 km, 3.04 km/giờ, 24 °C, 0, Rất kém
18, Bắc Ninh, 2022-11-19, 00:37, 26°, Nhiều mây, 22°, 31°, 31°, 10 km, 3 km/giờ, 22 °C, 0, Kém
19, Hải Dương, 2022-11-19, 00:37, 25°, Mây cụm, 22°, 31°, 31°, 10 km, 3.16 km/giờ, 22 °C, 0, Kém
20, Hải Phòng, 2022-11-19, 00:37, 25°, Bầu trời quang đãng, 22°, 31°, 31°, 10 km, 2.06 km/giờ, 23 °C, 0, Kém
21, Hưng Yên, 2022-11-19, 00:37, 25°, Mây cụm, 22°, 31°, 31°, 10 km, 2.48 km/giờ, 22 °C, 0, Rất kém
22, Thái Bình, 2022-11-19, 00:37, 25°, Mây thưa, 23°, 29°, 29°, 10 km, 3.22 km/giờ, 22 °C, 0, Rất kém
23, Hà Nam, 2022-11-19, 00:37, 25°, Mây cụm, 23°, 31°, 31°, 10 km, 2.21 km/giờ, 23 °C, 0, Rất kém
24, Nam Định, 2022-11-19, 00:37, 25°, Mây thưa, 23°, 30°, 30°, 10 km, 2.68 km/giờ, 23 °C, 0, Rất kém
25, Ninh Bình, 2022-11-19, 00:37, 25°, Mây rải rác, 23°, 29°, 29°, 10 km, 1.95 km/giờ, 23 °C, 0, Rất kém
26, Thanh Hóa, 2022-11-19, 00:37, 24°, Mây rải rác, 23°, 28°, 28°, 10 km, 1.3 km/giờ, 23 °C, 0, Kém
27, Nghệ An, 2022-11-19, 00:37, 24°, Mây rải rác, 23°, 28°, 28°, 10 km, 1.35 km/giờ, 22 °C, 0, Trung bình
28, Hà Tĩnh, 2022-11-19, 00:37, 24°, Mây cụm, 23°, 28°, 28°, 10 km, 0.91 km/giờ, 22 °C, 0, Kém
29, Quảng Bình, 2022-11-19, 00:37, 24°, Mây cụm, 22°, 29°, 29°, 10 km, 0.73 km/giờ, 23 °C, 0, Tốt
30, Quảng Trị, 2022-11-19, 00:37, 23°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.42 km/giờ, 22 °C, 0, Tốt
31, Thừa Thiên Huế, 2022-11-19, 00:37, 26°, Mây rải rác, 22°, 29°, 29°, 10 km, 1.54 km/giờ, 24 °C, 0, Khá
32, Đà Nẵng, 2022-11-19, 00:37, 27°, Mây rải rác, 24°, 28°, 28°, 10 km, 1.03 km/giờ, 23 °C, 0, Khá
33, Quảng Nam, 2022-11-19, 00:37, 25°, Nhiều mây, 23°, 28°, 28°, 10 km, 0.66 km/giờ, 22 °C, 0, Khá
34, Quảng Ngãi, 2022-11-19, 00:37, 24°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.94 km/giờ, 22 °C, 0, Khá
35, Bình Định, 2022-11-19, 00:37, 25°, Nhiều mây, 24°, 27°, 27°, 10 km, 5.21 km/giờ, 23 °C, 0, Tốt
36, Phú Yên, 2022-11-19, 00:37, 22°, Nhiều mây, 21°, 25°, 25°, 10 km, 0.66 km/giờ, 21 °C, 0, Tốt
37, Khánh Hòa, 2022-11-19, 00:37, 28°, Nhiều mây, 22°, 27°, 27°, 10 km, 2.14 km/giờ, 26 °C, 0, Khá
38, Ninh Thuận, 2022-11-19, 00:37, 25°, Nhiều mây, 22°, 26°, 26°, 10 km, 2.17 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-19, 00:37, 22°, Nhiều mây, 21°, 25°, 25°, 10 km, 1.37 km/giờ, 21 °C, 0, Tốt
40, Kon Tum, 2022-11-19, 00:37, 20°, Mưa nhẹ, 19°, 30°, 30°, 10 km, 1.19 km/giờ, 19 °C, 0, Tốt
41, Gia Lai, 2022-11-19, 00:37, 20°, Nhiều mây, 19°, 26°, 26°, 8.92 km, 1.07 km/giờ, 20 °C, 0, Tốt
42, Đắk Lắk, 2022-11-19, 00:37, 21°, Nhiều mây, 19°, 23°, 23°, 10 km, 2.67 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-19, 00:37, 21°, Nhiều mây, 19°, 23°, 23°, 10 km, 2.67 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-19, 00:37, 19°, Nhiều mây, 18°, 23°, 23°, 10 km, 1.75 km/giờ, 18 °C, 0, Khá
45, Bình Phước, 2022-11-19, 00:37, 21°, Nhiều mây, 20°, 29°, 29°, 10 km, 1.46 km/giờ, 21 °C, 0, Tốt
46, Tây Ninh, 2022-11-19, 00:37, 25°, Mưa nhẹ, 22°, 30°, 30°, 10 km, 1.36 km/giờ, 23 °C, 0, Kém
47, Bình Dương, 2022-11-19, 00:37, 25°, Mưa vừa, 22°, 29°, 29°, 8 km, 0.51 km/giờ, 25 °C, 0, Rất kém
48, Đồng Nai, 2022-11-19, 00:37, 25°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 1.67 km/giờ, 23 °C, 0, Rất kém
49, Bà Rịa - Vũng Tàu, 2022-11-19, 00:37, 24°, Mưa vừa, 21°, 29°, 29°, 10 km, 1.95 km/giờ, 22 °C, 0, Kém
50, Hồ Chí Minh, 2022-11-19, 00:37, 25°, Mây cụm, 22°, 29°, 29°, 8 km, 0.51 km/giờ, 25 °C, 0, Rất kém
51, Long An, 2022-11-19, 00:37, 25°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 2.51 km/giờ, 23 °C, 0, Rất kém
52, Tiền Giang, 2022-11-19, 00:37, 25°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 2.29 km/giờ, 22 °C, 0, Rất kém
53, Bến Tre, 2022-11-19, 00:37, 26°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.47 km/giờ, 22 °C, 0, Rất kém
54, Trà Vinh, 2022-11-19, 00:37, 25°, Nhiều mây, 22°, 29°, 29°, 10 km, 4.28 km/giờ, 22 °C, 0, Kém
55, Vĩnh Long, 2022-11-19, 00:37, 24°, Nhiều mây, 22°, 29°, 29°, 10 km, 0.44 km/giờ, 22 °C, 0, Rất kém
56, Đồng Tháp, 2022-11-19, 00:37, 24°, Nhiều mây, 22°, 29°, 29°, 10 km, 3.69 km/giờ, 21 °C, 0, Rất kém
57, An Giang, 2022-11-19, 00:37, 24°, Nhiều mây, 22°, 29°, 29°, 10 km, 3.3 km/giờ, 21 °C, 0, Rất kém
58, Kiên Giang, 2022-11-19, 00:37, 25°, Nhiều mây, 23°, 27°, 27°, 7.76 km, 2.83 km/giờ, 23 °C, 0, Kém
59, Cần Thơ, 2022-11-19, 00:37, 24°, Mây cụm, 22°, 28°, 28°, 10 km, 1.54 km/giờ, 24 °C, 0, Rất kém
60, Hậu Giang, 2022-11-19, 00:37, 24°, Nhiều mây, 22°, 27°, 27°, 10 km, 2.39 km/giờ, 23 °C, 0, Rất kém
61, Sóc Trăng, 2022-11-19, 00:37, 26°, Nhiều mây, 22°, 26°, 26°, 10 km, 4.25 km/giờ, 23 °C, 0, Rất kém
62, Bạc Liêu, 2022-11-19, 00:37, 26°, Nhiều mây, 22°, 26°, 26°, 10 km, 6.16 km/giờ, 23 °C, 0, Kém
63, Cà Mau, 2022-11-19, 00:37, 24°, Nhiều mây, 22°, 25°, 25°, 10 km, 2.27 km/giờ, 23 °C, 0, Kém
