1, Hà Giang, 2022-11-19, 14:22, 26°, Nhiều mây, 21°, 27°, 27°, 10 km, 1.19 km/giờ, 22 °C, 3.51, Khá
28, Hà Tĩnh, 2022-11-19, 14:22, 28°, Nhiều mây, 23°, 28°, 28°, 10 km, 4.56 km/giờ, 23 °C, 0, Kém
29, Quảng Bình, 2022-11-19, 14:22, 27°, Nhiều mây, 23°, 27°, 27°, 10 km, 1.97 km/giờ, 23 °C, 0, Kém
30, Quảng Trị, 2022-11-19, 14:22, 28°, Nhiều mây, 23°, 28°, 28°, 10 km, 4.04 km/giờ, 22 °C, 0, Trung bình
31, Thừa Thiên Huế, 2022-11-19, 14:22, 28°, Mây cụm, 23°, 28°, 28°, 10 km, 4.12 km/giờ, 24 °C, 0, Trung bình
32, Đà Nẵng, 2022-11-19, 14:22, 25°, Mưa nhẹ, 24°, 26°, 26°, 6 km, 3.6 km/giờ, 25 °C, 0, Khá
33, Quảng Nam, 2022-11-19, 14:22, 24°, Mưa cường độ nặng, 23°, 25°, 25°, 10 km, 2.38 km/giờ, 22 °C, 5.11, Khá
34, Quảng Ngãi, 2022-11-19, 14:22, 24°, Mưa vừa, 23°, 26°, 26°, 10 km, 2.35 km/giờ, 23 °C, 0, Tốt
35, Bình Định, 2022-11-19, 14:22, 24°, Nhiều mây, 23°, 26°, 26°, 8.67 km, 5.33 km/giờ, 23 °C, 0, Tốt
36, Phú Yên, 2022-11-19, 14:22, 22°, Mưa nhẹ, 21°, 24°, 24°, 10 km, 2.38 km/giờ, 21 °C, 0.89, Tốt
37, Khánh Hòa, 2022-11-19, 14:22, 27°, Nhiều mây, 22°, 28°, 28°, 1.33 km, 2.33 km/giờ, 27 °C, 0, Tốt
38, Ninh Thuận, 2022-11-19, 14:22, 23°, Nhiều mây, 22°, 28°, 28°, 6.32 km, 2.41 km/giờ, 23 °C, 0, Tốt
39, Bình Thuận, 2022-11-19, 14:22, 22°, Mưa nhẹ, 21°, 29°, 29°, 10 km, 1 km/giờ, 21 °C, 0, Tốt
40, Kon Tum, 2022-11-19, 14:22, 24°, Nhiều mây, 19°, 28°, 28°, 10 km, 2.37 km/giờ, 19 °C, 0, Tốt
41, Gia Lai, 2022-11-19, 14:22, 22°, Nhiều mây, 20°, 25°, 25°, 10 km, 2.01 km/giờ, 20 °C, 0, Tốt
42, Đắk Lắk, 2022-11-19, 14:22, 20°, Nhiều mây, 19°, 23°, 23°, 10 km, 1.48 km/giờ, 20 °C, 0.72, Tốt
43, Đắk Nông, 2022-11-19, 14:22, 20°, Nhiều mây, 19°, 23°, 23°, 10 km, 1.48 km/giờ, 20 °C, 0.72, Tốt
44, Lâm Đồng, 2022-11-19, 14:22, 19°, Mưa nhẹ, 17°, 25°, 25°, 10 km, 0.91 km/giờ, 19 °C, 0, Tốt
45, Bình Phước, 2022-11-19, 14:22, 25°, Nhiều mây, 21°, 29°, 29°, 10 km, 2.49 km/giờ, 21 °C, 0, Tốt
46, Tây Ninh, 2022-11-19, 14:22, 27°, Nhiều mây, 22°, 28°, 28°, 10 km, 3.86 km/giờ, 22 °C, 2.23, Tốt
47, Bình Dương, 2022-11-19, 14:22, 28°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 5.14 km/giờ, 24 °C, 1.61, Tốt
48, Đồng Nai, 2022-11-19, 14:22, 28°, Nhiều mây, 22°, 29°, 29°, 10 km, 2.48 km/giờ, 26 °C, 0, Tốt
49, Bà Rịa - Vũng Tàu, 2022-11-19, 14:22, 24°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 0.87 km/giờ, 23 °C, 0, Tốt
50, Hồ Chí Minh, 2022-11-19, 14:22, 28°, Mây cụm, 22°, 30°, 30°, 10 km, 5.14 km/giờ, 24 °C, 0, Khá
51, Long An, 2022-11-19, 14:22, 26°, Nhiều mây, 22°, 29°, 29°, 10 km, 3.23 km/giờ, 23 °C, 0, Tốt
52, Tiền Giang, 2022-11-19, 14:22, 26°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 2.68 km/giờ, 23 °C, 0, Trung bình
53, Bến Tre, 2022-11-19, 14:22, 26°, Nhiều mây, 22°, 29°, 29°, 10 km, 2.54 km/giờ, 23 °C, 0, Trung bình
54, Trà Vinh, 2022-11-19, 14:22, 25°, Mưa vừa, 22°, 29°, 29°, 10 km, 2.83 km/giờ, 23 °C, 0, Kém
55, Vĩnh Long, 2022-11-19, 14:22, 28°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 3.46 km/giờ, 25 °C, 0, Khá
56, Đồng Tháp, 2022-11-19, 14:22, 28°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 4.59 km/giờ, 23 °C, 0, Tốt
57, An Giang, 2022-11-19, 14:22, 28°, Mưa vừa, 22°, 28°, 28°, 10 km, 4.47 km/giờ, 23 °C, 0, Khá
58, Kiên Giang, 2022-11-19, 14:22, 27°, Mưa nhẹ, 23°, 27°, 27°, 10 km, 3.76 km/giờ, 24 °C, 0, Khá
59, Cần Thơ, 2022-11-19, 14:22, 28°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 3.6 km/giờ, 23 °C, 0, Kém
60, Hậu Giang, 2022-11-19, 14:22, 28°, Mưa vừa, 22°, 28°, 28°, 10 km, 3.67 km/giờ, 26 °C, 3.16, Kém
61, Sóc Trăng, 2022-11-19, 14:22, 26°, Mưa vừa, 22°, 28°, 28°, 10 km, 3.65 km/giờ, 24 °C, 0, Rất kém
62, Bạc Liêu, 2022-11-19, 14:22, 27°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 4.48 km/giờ, 23 °C, 1.2, Kém
63, Cà Mau, 2022-11-19, 14:22, 26°, Nhiều mây, 22°, 29°, 29°, 10 km, 2.47 km/giờ, 23 °C, 0, Khá
