1, Hà Giang, 2022-11-19, 01:04, 22°, Mây cụm, 20°, 27°, 27°, 10 km, 0.51 km/giờ, 22 °C, 0, Kém
14, Yên Bái, 2022-11-19, 01:04, 24°, Mây cụm, 22°, 28°, 28°, 10 km, 1.42 km/giờ, 23 °C, 0, Rất kém
15, Hoà Bình, 2022-11-19, 01:04, 24°, Mây cụm, 22°, 29°, 29°, 10 km, 1.38 km/giờ, 23 °C, 0, Trung bình
16, Hà Nội, 2022-11-19, 01:04, 26°, Nhiều mây, 22°, 31°, 31°, 10 km, 3.6 km/giờ, 23 °C, 0, Rất kém
17, Vĩnh Phúc, 2022-11-19, 01:04, 26°, Mây cụm, 22°, 30°, 30°, 10 km, 2.84 km/giờ, 24 °C, 0, Rất kém
18, Bắc Ninh, 2022-11-19, 01:04, 26°, Nhiều mây, 22°, 31°, 31°, 10 km, 2.94 km/giờ, 22 °C, 0, Kém
19, Hải Dương, 2022-11-19, 01:04, 25°, Mây cụm, 22°, 31°, 31°, 10 km, 2.92 km/giờ, 22 °C, 0, Kém
20, Hải Phòng, 2022-11-19, 01:04, 25°, Bầu trời quang đãng, 22°, 31°, 31°, 10 km, 2.06 km/giờ, 23 °C, 0, Kém
21, Hưng Yên, 2022-11-19, 01:04, 25°, Mây cụm, 22°, 31°, 31°, 10 km, 2.17 km/giờ, 22 °C, 0, Rất kém
22, Thái Bình, 2022-11-19, 01:04, 25°, Mây thưa, 23°, 29°, 29°, 10 km, 3.12 km/giờ, 22 °C, 0, Rất kém
23, Hà Nam, 2022-11-19, 01:04, 25°, Mây cụm, 23°, 31°, 31°, 10 km, 1.96 km/giờ, 23 °C, 0, Rất kém
24, Nam Định, 2022-11-19, 01:04, 25°, Mây thưa, 23°, 30°, 30°, 10 km, 2.5 km/giờ, 23 °C, 0, Rất kém
25, Ninh Bình, 2022-11-19, 01:04, 25°, Mây cụm, 23°, 29°, 29°, 10 km, 1.94 km/giờ, 23 °C, 0, Rất kém
26, Thanh Hóa, 2022-11-19, 01:04, 24°, Mây rải rác, 23°, 28°, 28°, 10 km, 0.95 km/giờ, 23 °C, 0, Kém
27, Nghệ An, 2022-11-19, 01:04, 24°, Mây cụm, 23°, 28°, 28°, 10 km, 1.45 km/giờ, 22 °C, 0, Trung bình
28, Hà Tĩnh, 2022-11-19, 01:04, 24°, Mây cụm, 23°, 28°, 28°, 10 km, 0.93 km/giờ, 22 °C, 0, Kém
29, Quảng Bình, 2022-11-19, 01:04, 24°, Mây cụm, 22°, 29°, 29°, 10 km, 0.95 km/giờ, 23 °C, 0, Tốt
30, Quảng Trị, 2022-11-19, 01:04, 23°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.42 km/giờ, 22 °C, 0, Tốt
31, Thừa Thiên Huế, 2022-11-19, 01:04, 25°, Mây rải rác, 22°, 29°, 29°, 10 km, 1.03 km/giờ, 24 °C, 0, Khá
32, Đà Nẵng, 2022-11-19, 01:04, 26°, Mây rải rác, 24°, 28°, 28°, 8 km, 0.51 km/giờ, 24 °C, 0, Khá
33, Quảng Nam, 2022-11-19, 01:04, 25°, Nhiều mây, 23°, 28°, 28°, 10 km, 0.66 km/giờ, 22 °C, 0, Khá
34, Quảng Ngãi, 2022-11-19, 01:04, 24°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.4 km/giờ, 22 °C, 0, Tốt
35, Bình Định, 2022-11-19, 01:04, 25°, Nhiều mây, 24°, 27°, 27°, 10 km, 4.97 km/giờ, 23 °C, 0, Tốt
36, Phú Yên, 2022-11-19, 01:04, 22°, Nhiều mây, 21°, 23°, 23°, 10 km, 0.66 km/giờ, 21 °C, 0, Tốt
37, Khánh Hòa, 2022-11-19, 01:04, 27°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.32 km/giờ, 27 °C, 0, Trung bình
38, Ninh Thuận, 2022-11-19, 01:04, 25°, Nhiều mây, 22°, 26°, 26°, 10 km, 2.43 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-19, 01:04, 22°, Nhiều mây, 21°, 25°, 25°, 10 km, 1.63 km/giờ, 21 °C, 0, Tốt
40, Kon Tum, 2022-11-19, 01:04, 20°, Nhiều mây, 19°, 30°, 30°, 10 km, 1.33 km/giờ, 18 °C, 0, Tốt
41, Gia Lai, 2022-11-19, 01:04, 20°, Nhiều mây, 19°, 26°, 26°, 8.45 km, 1.09 km/giờ, 20 °C, 0, Tốt
42, Đắk Lắk, 2022-11-19, 01:04, 21°, Nhiều mây, 19°, 23°, 23°, 10 km, 2.09 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-19, 01:04, 21°, Nhiều mây, 19°, 23°, 23°, 10 km, 2.09 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-19, 01:04, 19°, Nhiều mây, 17°, 22°, 22°, 10 km, 1.71 km/giờ, 18 °C, 0, Khá
45, Bình Phước, 2022-11-19, 01:04, 21°, Nhiều mây, 20°, 29°, 29°, 10 km, 1.46 km/giờ, 21 °C, 0, Tốt
46, Tây Ninh, 2022-11-19, 01:04, 25°, Mưa vừa, 22°, 30°, 30°, 10 km, 1.45 km/giờ, 23 °C, 0, Kém
47, Bình Dương, 2022-11-19, 01:04, 26°, Mưa vừa, 22°, 29°, 29°, 8 km, 0 km/giờ, 25 °C, 0, Rất kém
48, Đồng Nai, 2022-11-19, 01:04, 26°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 1.35 km/giờ, 23 °C, 0, Rất kém
49, Bà Rịa - Vũng Tàu, 2022-11-19, 01:04, 24°, Mưa nhẹ, 21°, 29°, 29°, 10 km, 1.24 km/giờ, 23 °C, 0, Kém
50, Hồ Chí Minh, 2022-11-19, 01:04, 26°, Mưa vừa, 22°, 29°, 29°, 8 km, 0 km/giờ, 25 °C, 0, Rất kém
51, Long An, 2022-11-19, 01:04, 25°, Mưa cường độ nặng, 22°, 29°, 29°, 10 km, 2.51 km/giờ, 23 °C, 0, Rất kém
52, Tiền Giang, 2022-11-19, 01:04, 25°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 1.84 km/giờ, 22 °C, 0, Rất kém
53, Bến Tre, 2022-11-19, 01:04, 26°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 3.2 km/giờ, 22 °C, 0, Rất kém
54, Trà Vinh, 2022-11-19, 01:04, 25°, Nhiều mây, 22°, 29°, 29°, 10 km, 4.28 km/giờ, 22 °C, 0, Kém
55, Vĩnh Long, 2022-11-19, 01:04, 24°, Nhiều mây, 22°, 29°, 29°, 6.66 km, 0.84 km/giờ, 22 °C, 0, Rất kém
56, Đồng Tháp, 2022-11-19, 01:04, 24°, Nhiều mây, 22°, 29°, 29°, 10 km, 3.69 km/giờ, 21 °C, 0, Rất kém
57, An Giang, 2022-11-19, 01:04, 24°, Nhiều mây, 22°, 29°, 29°, 10 km, 4.07 km/giờ, 21 °C, 0, Rất kém
58, Kiên Giang, 2022-11-19, 01:04, 25°, Nhiều mây, 23°, 27°, 27°, 7.76 km, 2.83 km/giờ, 23 °C, 0, Kém
59, Cần Thơ, 2022-11-19, 01:04, 24°, Mây cụm, 22°, 28°, 28°, 10 km, 1.54 km/giờ, 24 °C, 0, Rất kém
60, Hậu Giang, 2022-11-19, 01:04, 24°, Nhiều mây, 22°, 27°, 27°, 10 km, 2.29 km/giờ, 23 °C, 0, Rất kém
61, Sóc Trăng, 2022-11-19, 01:04, 25°, Mưa nhẹ, 22°, 26°, 26°, 10 km, 4.94 km/giờ, 22 °C, 0, Rất kém
62, Bạc Liêu, 2022-11-19, 01:04, 26°, Nhiều mây, 22°, 26°, 26°, 10 km, 6.16 km/giờ, 23 °C, 0, Kém
63, Cà Mau, 2022-11-19, 01:04, 24°, Nhiều mây, 22°, 25°, 25°, 10 km, 1.88 km/giờ, 23 °C, 0, Kém
