1, Hà Giang, 2022-11-19, 22:52, 21°, Nhiều mây, 21°, 26°, 26°, 10 km, 0.33 km/giờ, 21 °C, 0, Khá
22, Thái Bình, 2022-11-19, 22:52, 25°, Nhiều mây, 24°, 29°, 29°, 10 km, 1.11 km/giờ, 21 °C, 0, Rất kém
23, Hà Nam, 2022-11-19, 22:52, 24°, Nhiều mây, 23°, 30°, 30°, 10 km, 0.87 km/giờ, 21 °C, 0, Rất kém
24, Nam Định, 2022-11-19, 22:52, 24°, Nhiều mây, 23°, 30°, 30°, 10 km, 0.88 km/giờ, 21 °C, 0, Rất kém
25, Ninh Bình, 2022-11-19, 22:52, 24°, Nhiều mây, 23°, 30°, 30°, 10 km, 1.39 km/giờ, 21 °C, 0, Rất kém
26, Thanh Hóa, 2022-11-19, 22:52, 23°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.62 km/giờ, 22 °C, 0, Rất kém
27, Nghệ An, 2022-11-19, 22:52, 24°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.49 km/giờ, 22 °C, 0, Khá
28, Hà Tĩnh, 2022-11-19, 22:52, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.17 km/giờ, 22 °C, 0, Khá
29, Quảng Bình, 2022-11-19, 22:52, 23°, Nhiều mây, 23°, 27°, 27°, 9.35 km, 1.17 km/giờ, 22 °C, 0, Khá
30, Quảng Trị, 2022-11-19, 22:52, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.54 km/giờ, 22 °C, 0, Trung bình
31, Thừa Thiên Huế, 2022-11-19, 22:52, 27°, Mây rải rác, 23°, 27°, 27°, 10 km, 4.63 km/giờ, 25 °C, 0, Tốt
32, Đà Nẵng, 2022-11-19, 22:52, 27°, Mưa nhẹ, 24°, 27°, 27°, 10 km, 3.09 km/giờ, 24 °C, 0, Kém
33, Quảng Nam, 2022-11-19, 22:52, 23°, Nhiều mây, 23°, 24°, 24°, 10 km, 1.46 km/giờ, 22 °C, 0, Trung bình
34, Quảng Ngãi, 2022-11-19, 22:52, 23°, Nhiều mây, 23°, 25°, 25°, 10 km, 2.25 km/giờ, 22 °C, 0, Khá
35, Bình Định, 2022-11-19, 22:52, 24°, Mưa vừa, 23°, 27°, 27°, 10 km, 4.01 km/giờ, 22 °C, 0, Tốt
36, Phú Yên, 2022-11-19, 22:52, 21°, Mưa cường độ nặng, 21°, 26°, 26°, 5.99 km, 0.67 km/giờ, 21 °C, 0, Tốt
37, Khánh Hòa, 2022-11-19, 22:52, 24°, Mưa cường độ nặng, 22°, 28°, 28°, 5.81 km, 1.76 km/giờ, 23 °C, 0, Tốt
38, Ninh Thuận, 2022-11-19, 22:52, 22°, Mưa nhẹ, 22°, 28°, 28°, 4.45 km, 4.92 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-19, 22:52, 21°, Nhiều mây, 21°, 26°, 26°, 10 km, 0.6 km/giờ, 20 °C, 0, Tốt
40, Kon Tum, 2022-11-19, 22:52, 21°, Nhiều mây, 19°, 25°, 25°, 10 km, 1.39 km/giờ, 19 °C, 0, Tốt
41, Gia Lai, 2022-11-19, 22:52, 20°, Nhiều mây, 20°, 26°, 26°, 8.18 km, 1.09 km/giờ, 20 °C, 0, Tốt
42, Đắk Lắk, 2022-11-19, 22:52, 20°, Mưa vừa, 19°, 26°, 26°, 5.86 km, 3.35 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-19, 22:52, 20°, Mưa vừa, 19°, 26°, 26°, 5.86 km, 3.35 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-19, 22:52, 18°, Mưa vừa, 17°, 23°, 23°, 10 km, 0.91 km/giờ, 18 °C, 0, Tốt
45, Bình Phước, 2022-11-19, 22:52, 22°, Mưa nhẹ, 21°, 30°, 30°, 10 km, 2.12 km/giờ, 20 °C, 0, Tốt
46, Tây Ninh, 2022-11-19, 22:52, 24°, Mưa cường độ nặng, 22°, 28°, 28°, 10 km, 2.35 km/giờ, 21 °C, 0, Tốt
47, Bình Dương, 2022-11-19, 22:52, 26°, Mưa vừa, 22°, 29°, 29°, 10 km, 1.54 km/giờ, 25 °C, 0, Tốt
48, Đồng Nai, 2022-11-19, 22:52, 26°, Mưa vừa, 22°, 29°, 29°, 10 km, 1.63 km/giờ, 25 °C, 0, Khá
49, Bà Rịa - Vũng Tàu, 2022-11-19, 22:52, 22°, Nhiều mây, 22°, 29°, 29°, 10 km, 0.57 km/giờ, 21 °C, 0, Khá
50, Hồ Chí Minh, 2022-11-19, 22:52, 26°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 1.54 km/giờ, 25 °C, 0, Trung bình
51, Long An, 2022-11-19, 22:52, 23°, Mưa vừa, 22°, 27°, 27°, 10 km, 1.58 km/giờ, 21 °C, 0, Tốt
52, Tiền Giang, 2022-11-19, 22:52, 23°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.25 km/giờ, 22 °C, 0, Khá
53, Bến Tre, 2022-11-19, 22:52, 23°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.12 km/giờ, 22 °C, 0, Khá
54, Trà Vinh, 2022-11-19, 22:52, 23°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 1.51 km/giờ, 22 °C, 0, Kém
55, Vĩnh Long, 2022-11-19, 22:52, 25°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 1.56 km/giờ, 23 °C, 0, Khá
56, Đồng Tháp, 2022-11-19, 22:52, 25°, Mưa vừa, 22°, 27°, 27°, 10 km, 1.6 km/giờ, 22 °C, 0, Tốt
57, An Giang, 2022-11-19, 22:52, 25°, Mưa vừa, 22°, 27°, 27°, 10 km, 1.91 km/giờ, 22 °C, 0, Khá
58, Kiên Giang, 2022-11-19, 22:52, 24°, Nhiều mây, 23°, 26°, 26°, 10 km, 3.68 km/giờ, 21 °C, 0, Tốt
59, Cần Thơ, 2022-11-19, 22:52, 25°, Mây rải rác, 22°, 30°, 30°, 10 km, 0.51 km/giờ, 22 °C, 0, Trung bình
60, Hậu Giang, 2022-11-19, 22:52, 25°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 2.37 km/giờ, 23 °C, 0, Trung bình
61, Sóc Trăng, 2022-11-19, 22:52, 23°, Mưa vừa, 22°, 29°, 29°, 10 km, 1.81 km/giờ, 22 °C, 0, Kém
62, Bạc Liêu, 2022-11-19, 22:52, 24°, Mưa nhẹ, 23°, 29°, 29°, 10 km, 2.99 km/giờ, 22 °C, 0, Kém
63, Cà Mau, 2022-11-19, 22:52, 23°, Mưa nhẹ, 23°, 28°, 28°, 10 km, 1.81 km/giờ, 22 °C, 0, Kém
