1, Hà Giang, 2022-11-19, 08:03, 22°, Nhiều mây, 20°, 27°, 27°, 10 km, 0.7 km/giờ, 22 °C, 0.43, Kém
18, Bắc Ninh, 2022-11-19, 08:03, 26°, Mây cụm, 22°, 30°, 30°, 10 km, 2.34 km/giờ, 21 °C, 0.95, Rất kém
19, Hải Dương, 2022-11-19, 08:03, 26°, Mây cụm, 22°, 30°, 30°, 10 km, 4.38 km/giờ, 21 °C, 0, Rất kém
20, Hải Phòng, 2022-11-19, 08:03, 26°, Mây cụm, 22°, 30°, 30°, 10 km, 3.6 km/giờ, 22 °C, 0, Kém
21, Hưng Yên, 2022-11-19, 08:03, 26°, Mây cụm, 22°, 30°, 30°, 10 km, 3.7 km/giờ, 22 °C, 0, Rất kém
22, Thái Bình, 2022-11-19, 08:03, 27°, Mây rải rác, 23°, 29°, 29°, 10 km, 6.03 km/giờ, 22 °C, 0, Kém
23, Hà Nam, 2022-11-19, 08:03, 26°, Mây cụm, 22°, 30°, 30°, 10 km, 3.02 km/giờ, 22 °C, 0.73, Rất kém
24, Nam Định, 2022-11-19, 08:03, 26°, Mây rải rác, 23°, 30°, 30°, 10 km, 4.87 km/giờ, 22 °C, 0, Rất kém
25, Ninh Bình, 2022-11-19, 08:03, 26°, Mây rải rác, 23°, 29°, 29°, 10 km, 3.33 km/giờ, 22 °C, 0.91, Rất kém
26, Thanh Hóa, 2022-11-19, 08:03, 26°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.74 km/giờ, 22 °C, 0.9, Kém
27, Nghệ An, 2022-11-19, 08:03, 25°, Nhiều mây, 23°, 28°, 28°, 10 km, 1.41 km/giờ, 22 °C, 0.85, Kém
28, Hà Tĩnh, 2022-11-19, 08:03, 25°, Nhiều mây, 23°, 28°, 28°, 10 km, 1.5 km/giờ, 22 °C, 0.91, Kém
29, Quảng Bình, 2022-11-19, 08:03, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 0.89 km/giờ, 23 °C, 0, Tốt
30, Quảng Trị, 2022-11-19, 08:03, 25°, Nhiều mây, 23°, 29°, 29°, 10 km, 1.14 km/giờ, 22 °C, 1.28, Tốt
31, Thừa Thiên Huế, 2022-11-19, 08:03, 25°, Mây rải rác, 23°, 28°, 28°, 8 km, 1.03 km/giờ, 24 °C, 0, Khá
32, Đà Nẵng, 2022-11-19, 08:03, 27°, Mây cụm, 24°, 27°, 27°, 10 km, 0.51 km/giờ, 24 °C, 0, Khá
33, Quảng Nam, 2022-11-19, 08:03, 25°, Nhiều mây, 23°, 26°, 26°, 10 km, 2.94 km/giờ, 22 °C, 0, Khá
34, Quảng Ngãi, 2022-11-19, 08:03, 26°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.94 km/giờ, 22 °C, 1.4, Tốt
35, Bình Định, 2022-11-19, 08:03, 24°, Mưa vừa, 23°, 26°, 26°, 10 km, 4.49 km/giờ, 22 °C, 0.38, Tốt
36, Phú Yên, 2022-11-19, 08:03, 21°, Mưa cường độ nặng, 21°, 23°, 23°, 8.93 km, 1.67 km/giờ, 21 °C, 0.31, Tốt
37, Khánh Hòa, 2022-11-19, 08:03, 23°, Mưa nhẹ, 22°, 24°, 24°, 10 km, 2.88 km/giờ, 22 °C, 0, Khá
38, Ninh Thuận, 2022-11-19, 08:03, 25°, Mưa vừa, 22°, 25°, 25°, 10 km, 2.41 km/giờ, 22 °C, 0.67, Tốt
39, Bình Thuận, 2022-11-19, 08:03, 23°, Nhiều mây, 21°, 26°, 26°, 10 km, 0.58 km/giờ, 21 °C, 0.28, Tốt
40, Kon Tum, 2022-11-19, 08:03, 23°, Nhiều mây, 19°, 27°, 27°, 10 km, 1.9 km/giờ, 18 °C, 0, Tốt
41, Gia Lai, 2022-11-19, 08:03, 22°, Mưa nhẹ, 19°, 25°, 25°, 10 km, 1.89 km/giờ, 20 °C, 0.89, Tốt
42, Đắk Lắk, 2022-11-19, 08:03, 21°, Mưa cường độ nặng, 19°, 21°, 21°, 10 km, 1.66 km/giờ, 19 °C, 0.51, Tốt
43, Đắk Nông, 2022-11-19, 08:03, 21°, Mưa cường độ nặng, 19°, 21°, 21°, 10 km, 1.66 km/giờ, 19 °C, 0.51, Tốt
44, Lâm Đồng, 2022-11-19, 08:03, 19°, Mưa vừa, 18°, 20°, 20°, 10 km, 1.54 km/giờ, 17 °C, 0.28, Tốt
45, Bình Phước, 2022-11-19, 08:03, 23°, Nhiều mây, 20°, 25°, 25°, 10 km, 1.25 km/giờ, 21 °C, 0, Tốt
46, Tây Ninh, 2022-11-19, 08:03, 25°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.42 km/giờ, 23 °C, 1.23, Khá
47, Bình Dương, 2022-11-19, 08:03, 25°, Mây cụm, 22°, 26°, 26°, 8 km, 1.54 km/giờ, 25 °C, 0.97, Kém
48, Đồng Nai, 2022-11-19, 08:03, 25°, Nhiều mây, 22°, 26°, 26°, 10 km, 1.7 km/giờ, 23 °C, 0, Trung bình
49, Bà Rịa - Vũng Tàu, 2022-11-19, 08:03, 24°, Nhiều mây, 22°, 24°, 24°, 10 km, 0.65 km/giờ, 23 °C, 0, Rất kém
50, Hồ Chí Minh, 2022-11-19, 08:03, 25°, Mưa nhẹ, 22°, 26°, 26°, 8 km, 1.54 km/giờ, 25 °C, 0.97, Rất kém
51, Long An, 2022-11-19, 08:03, 24°, Mưa nhẹ, 22°, 27°, 27°, 10 km, 0.36 km/giờ, 23 °C, 0, Rất kém
52, Tiền Giang, 2022-11-19, 08:03, 23°, Mưa nhẹ, 21°, 26°, 26°, 10 km, 0.74 km/giờ, 23 °C, 0, Rất kém
53, Bến Tre, 2022-11-19, 08:03, 24°, Mưa nhẹ, 21°, 25°, 25°, 10 km, 1.2 km/giờ, 23 °C, 0.48, Rất kém
54, Trà Vinh, 2022-11-19, 08:03, 24°, Mưa vừa, 21°, 25°, 25°, 10 km, 2.03 km/giờ, 23 °C, 0.54, Kém
55, Vĩnh Long, 2022-11-19, 08:03, 24°, Nhiều mây, 21°, 27°, 27°, 10 km, 3.09 km/giờ, 23 °C, 0, Rất kém
56, Đồng Tháp, 2022-11-19, 08:03, 24°, Mưa vừa, 22°, 28°, 28°, 10 km, 2.35 km/giờ, 20 °C, 0.55, Kém
57, An Giang, 2022-11-19, 08:03, 24°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.4 km/giờ, 21 °C, 0, Rất kém
58, Kiên Giang, 2022-11-19, 08:03, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 3.15 km/giờ, 23 °C, 0, Rất kém
59, Cần Thơ, 2022-11-19, 08:03, 23°, Mưa nhẹ, 21°, 26°, 26°, 8 km, 1.03 km/giờ, 24 °C, 0, Rất kém
60, Hậu Giang, 2022-11-19, 08:03, 24°, Nhiều mây, 22°, 26°, 26°, 10 km, 3.97 km/giờ, 22 °C, 0, Kém
61, Sóc Trăng, 2022-11-19, 08:03, 24°, Mưa vừa, 22°, 25°, 25°, 10 km, 4.45 km/giờ, 23 °C, 0.73, Kém
62, Bạc Liêu, 2022-11-19, 08:03, 25°, Nhiều mây, 22°, 26°, 26°, 10 km, 7.28 km/giờ, 23 °C, 0.37, Kém
63, Cà Mau, 2022-11-19, 08:03, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 2.55 km/giờ, 23 °C, 0, Khá
