1, Hà Giang, 2022-11-19, 21:12, 21°, Mây cụm, 21°, 26°, 26°, 10 km, 0.31 km/giờ, 21 °C, 0, Khá
45, Bình Phước, 2022-11-19, 21:12, 22°, Mưa cường độ nặng, 21°, 30°, 30°, 10 km, 3.17 km/giờ, 21 °C, 0, Tốt
46, Tây Ninh, 2022-11-19, 21:12, 24°, Mưa vừa, 22°, 28°, 28°, 10 km, 3.57 km/giờ, 21 °C, 0, Tốt
47, Bình Dương, 2022-11-19, 21:12, 25°, Mưa vừa, 22°, 29°, 29°, 10 km, 1.54 km/giờ, 25 °C, 0, Tốt
48, Đồng Nai, 2022-11-19, 21:12, 25°, Mưa vừa, 22°, 29°, 29°, 10 km, 2.13 km/giờ, 24 °C, 0, Khá
49, Bà Rịa - Vũng Tàu, 2022-11-19, 21:12, 22°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 1.41 km/giờ, 21 °C, 0, Khá
50, Hồ Chí Minh, 2022-11-19, 21:12, 25°, Mưa vừa, 22°, 28°, 28°, 10 km, 1.54 km/giờ, 25 °C, 0, Kém
51, Long An, 2022-11-19, 21:12, 24°, Mưa vừa, 22°, 27°, 27°, 10 km, 3.19 km/giờ, 21 °C, 0, Khá
52, Tiền Giang, 2022-11-19, 21:12, 23°, Mưa vừa, 22°, 28°, 28°, 10 km, 1.97 km/giờ, 22 °C, 0, Kém
53, Bến Tre, 2022-11-19, 21:12, 23°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 1.61 km/giờ, 22 °C, 0, Kém
54, Trà Vinh, 2022-11-19, 21:12, 23°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.84 km/giờ, 22 °C, 0, Rất kém
55, Vĩnh Long, 2022-11-19, 21:12, 25°, Mưa vừa, 22°, 29°, 29°, 10 km, 2.14 km/giờ, 23 °C, 0, Kém
56, Đồng Tháp, 2022-11-19, 21:12, 25°, Mưa vừa, 22°, 27°, 27°, 10 km, 3.96 km/giờ, 22 °C, 0, Khá
57, An Giang, 2022-11-19, 21:12, 25°, Mưa vừa, 22°, 27°, 27°, 10 km, 4.07 km/giờ, 21 °C, 0, Khá
58, Kiên Giang, 2022-11-19, 21:12, 25°, Nhiều mây, 23°, 26°, 26°, 10 km, 4.76 km/giờ, 21 °C, 0, Tốt
59, Cần Thơ, 2022-11-19, 21:12, 25°, Mưa vừa, 22°, 30°, 30°, 10 km, 1.03 km/giờ, 23 °C, 0, Kém
60, Hậu Giang, 2022-11-19, 21:12, 25°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.46 km/giờ, 23 °C, 0, Kém
61, Sóc Trăng, 2022-11-19, 21:12, 24°, Nhiều mây, 22°, 29°, 29°, 10 km, 2.26 km/giờ, 22 °C, 0, Kém
62, Bạc Liêu, 2022-11-19, 21:12, 24°, Nhiều mây, 23°, 29°, 29°, 10 km, 3.39 km/giờ, 22 °C, 0, Kém
63, Cà Mau, 2022-11-19, 21:12, 24°, Nhiều mây, 23°, 28°, 28°, 10 km, 1.89 km/giờ, 22 °C, 0, Kém
