1, Hà Giang, 2022-11-19, 20:03, 21°, Mây cụm, 21°, 26°, 26°, 10 km, 0.19 km/giờ, 21 °C, 0, Khá
36, Phú Yên, 2022-11-19, 20:03, 21°, Nhiều mây, 21°, 26°, 26°, 8.15 km, 2.65 km/giờ, 21 °C, 0, Tốt
37, Khánh Hòa, 2022-11-19, 20:03, 25°, Mưa vừa, 22°, 28°, 28°, 5.41 km, 3.6 km/giờ, 24 °C, 0, Tốt
38, Ninh Thuận, 2022-11-19, 20:03, 23°, Mưa vừa, 22°, 28°, 28°, 9.37 km, 4.98 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-19, 20:03, 22°, Mưa cường độ nặng, 21°, 26°, 26°, 10 km, 1.36 km/giờ, 21 °C, 0, Tốt
40, Kon Tum, 2022-11-19, 20:03, 21°, Nhiều mây, 19°, 25°, 25°, 10 km, 1.55 km/giờ, 19 °C, 0, Tốt
41, Gia Lai, 2022-11-19, 20:03, 20°, Nhiều mây, 20°, 26°, 26°, 10 km, 1.48 km/giờ, 20 °C, 0, Tốt
42, Đắk Lắk, 2022-11-19, 20:03, 20°, Mưa vừa, 19°, 26°, 26°, 10 km, 2.66 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-19, 20:03, 20°, Mưa vừa, 19°, 26°, 26°, 10 km, 2.66 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-19, 20:03, 19°, Mưa cường độ nặng, 17°, 23°, 23°, 10 km, 3.48 km/giờ, 18 °C, 0, Tốt
45, Bình Phước, 2022-11-19, 20:03, 22°, Mưa vừa, 21°, 30°, 30°, 10 km, 3.42 km/giờ, 21 °C, 0, Tốt
46, Tây Ninh, 2022-11-19, 20:03, 24°, Mưa cường độ nặng, 22°, 28°, 28°, 10 km, 5.02 km/giờ, 21 °C, 0, Tốt
47, Bình Dương, 2022-11-19, 20:03, 26°, Mưa vừa, 22°, 29°, 29°, 10 km, 2.06 km/giờ, 25 °C, 0, Tốt
48, Đồng Nai, 2022-11-19, 20:03, 26°, Mưa cường độ nặng, 22°, 29°, 29°, 10 km, 2.97 km/giờ, 25 °C, 0, Khá
49, Bà Rịa - Vũng Tàu, 2022-11-19, 20:03, 22°, Mưa vừa, 22°, 29°, 29°, 10 km, 1.41 km/giờ, 21 °C, 0, Khá
50, Hồ Chí Minh, 2022-11-19, 20:03, 26°, Mưa cường độ nặng, 22°, 28°, 28°, 10 km, 2.06 km/giờ, 25 °C, 0, Kém
51, Long An, 2022-11-19, 20:03, 24°, Mưa vừa, 22°, 27°, 27°, 10 km, 3.62 km/giờ, 22 °C, 0, Khá
52, Tiền Giang, 2022-11-19, 20:03, 24°, Mưa cường độ nặng, 22°, 28°, 28°, 10 km, 2.69 km/giờ, 22 °C, 0, Kém
53, Bến Tre, 2022-11-19, 20:03, 23°, Mưa vừa, 22°, 29°, 29°, 10 km, 2.34 km/giờ, 22 °C, 0, Kém
54, Trà Vinh, 2022-11-19, 20:03, 23°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 2.64 km/giờ, 22 °C, 0, Rất kém
55, Vĩnh Long, 2022-11-19, 20:03, 26°, Mưa vừa, 22°, 29°, 29°, 10 km, 2.47 km/giờ, 24 °C, 0, Kém
56, Đồng Tháp, 2022-11-19, 20:03, 26°, Mưa nhẹ, 22°, 27°, 27°, 10 km, 3.9 km/giờ, 23 °C, 0, Khá
57, An Giang, 2022-11-19, 20:03, 26°, Nhiều mây, 22°, 27°, 27°, 10 km, 4.49 km/giờ, 22 °C, 0, Khá
58, Kiên Giang, 2022-11-19, 20:03, 26°, Nhiều mây, 23°, 26°, 26°, 10 km, 5.6 km/giờ, 22 °C, 0, Tốt
59, Cần Thơ, 2022-11-19, 20:03, 26°, Mưa nhẹ, 22°, 30°, 30°, 10 km, 1.03 km/giờ, 23 °C, 0, Kém
60, Hậu Giang, 2022-11-19, 20:03, 26°, Nhiều mây, 22°, 28°, 28°, 10 km, 3.28 km/giờ, 23 °C, 0, Kém
61, Sóc Trăng, 2022-11-19, 20:03, 24°, Nhiều mây, 22°, 29°, 29°, 10 km, 3.28 km/giờ, 22 °C, 0, Kém
62, Bạc Liêu, 2022-11-19, 20:03, 25°, Mưa nhẹ, 23°, 29°, 29°, 10 km, 3.85 km/giờ, 22 °C, 0, Rất kém
63, Cà Mau, 2022-11-19, 20:03, 24°, Mưa nhẹ, 23°, 28°, 28°, 10 km, 2.18 km/giờ, 23 °C, 0, Kém
