1, Hà Giang, 2022-11-19, 09:03, 22°, Nhiều mây, 20°, 27°, 27°, 10 km, 0.84 km/giờ, 22 °C, 0, Kém
26, Thanh Hóa, 2022-11-19, 09:03, 27°, Nhiều mây, 22°, 28°, 28°, 10 km, 3 km/giờ, 22 °C, 0, Rất kém
27, Nghệ An, 2022-11-19, 09:03, 26°, Nhiều mây, 23°, 27°, 27°, 10 km, 1.57 km/giờ, 22 °C, 2.32, Kém
28, Hà Tĩnh, 2022-11-19, 09:03, 26°, Nhiều mây, 23°, 28°, 28°, 10 km, 1.82 km/giờ, 22 °C, 0, Kém
29, Quảng Bình, 2022-11-19, 09:03, 26°, Nhiều mây, 22°, 27°, 27°, 10 km, 1.5 km/giờ, 23 °C, 0, Tốt
30, Quảng Trị, 2022-11-19, 09:03, 27°, Nhiều mây, 23°, 29°, 29°, 10 km, 1.53 km/giờ, 22 °C, 0, Tốt
31, Thừa Thiên Huế, 2022-11-19, 09:03, 26°, Mây cụm, 23°, 28°, 28°, 8 km, 1.03 km/giờ, 24 °C, 0, Khá
32, Đà Nẵng, 2022-11-19, 09:03, 27°, Mây cụm, 24°, 27°, 27°, 10 km, 2.57 km/giờ, 24 °C, 2.92, Khá
33, Quảng Nam, 2022-11-19, 09:03, 26°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.16 km/giờ, 22 °C, 2.46, Khá
34, Quảng Ngãi, 2022-11-19, 09:03, 27°, Nhiều mây, 23°, 27°, 27°, 10 km, 3.27 km/giờ, 22 °C, 3.32, Tốt
35, Bình Định, 2022-11-19, 09:03, 24°, Mưa nhẹ, 23°, 26°, 26°, 6.2 km, 5.04 km/giờ, 23 °C, 0.89, Tốt
36, Phú Yên, 2022-11-19, 09:03, 22°, Nhiều mây, 21°, 23°, 23°, 5.38 km, 2.08 km/giờ, 21 °C, 0.71, Tốt
37, Khánh Hòa, 2022-11-19, 09:03, 24°, Nhiều mây, 22°, 25°, 25°, 3.37 km, 2.88 km/giờ, 23 °C, 0.41, Khá
38, Ninh Thuận, 2022-11-19, 09:03, 26°, Mưa nhẹ, 22°, 26°, 26°, 10 km, 1.85 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-19, 09:03, 23°, Mưa nhẹ, 21°, 26°, 26°, 10 km, 0.62 km/giờ, 21 °C, 0, Tốt
40, Kon Tum, 2022-11-19, 09:03, 26°, Nhiều mây, 19°, 27°, 27°, 10 km, 2.56 km/giờ, 18 °C, 0, Tốt
41, Gia Lai, 2022-11-19, 09:03, 22°, Mưa nhẹ, 19°, 25°, 25°, 10 km, 1.32 km/giờ, 20 °C, 2.1, Tốt
42, Đắk Lắk, 2022-11-19, 09:03, 21°, Mưa cường độ nặng, 19°, 21°, 21°, 10 km, 1.86 km/giờ, 20 °C, 1.22, Tốt
43, Đắk Nông, 2022-11-19, 09:03, 21°, Mưa cường độ nặng, 19°, 21°, 21°, 10 km, 1.86 km/giờ, 20 °C, 1.22, Tốt
44, Lâm Đồng, 2022-11-19, 09:03, 20°, Mưa nhẹ, 18°, 20°, 20°, 10 km, 1.41 km/giờ, 18 °C, 0.67, Tốt
45, Bình Phước, 2022-11-19, 09:03, 26°, Nhiều mây, 20°, 26°, 26°, 10 km, 1.98 km/giờ, 21 °C, 3.48, Tốt
46, Tây Ninh, 2022-11-19, 09:03, 26°, Nhiều mây, 22°, 27°, 27°, 10 km, 2.79 km/giờ, 23 °C, 3.03, Khá
47, Bình Dương, 2022-11-19, 09:03, 26°, Mây cụm, 22°, 26°, 26°, 8 km, 2.06 km/giờ, 25 °C, 2.36, Kém
48, Đồng Nai, 2022-11-19, 09:03, 26°, Mưa nhẹ, 22°, 26°, 26°, 10 km, 2.26 km/giờ, 23 °C, 2.36, Khá
49, Bà Rịa - Vũng Tàu, 2022-11-19, 09:03, 24°, Mưa nhẹ, 22°, 24°, 24°, 10 km, 1.12 km/giờ, 23 °C, 0, Kém
50, Hồ Chí Minh, 2022-11-19, 09:03, 26°, Mây cụm, 22°, 27°, 27°, 8 km, 2.06 km/giờ, 26 °C, 2.36, Rất kém
51, Long An, 2022-11-19, 09:03, 24°, Mưa vừa, 22°, 27°, 27°, 10 km, 1.12 km/giờ, 23 °C, 1.91, Kém
52, Tiền Giang, 2022-11-19, 09:03, 24°, Mưa nhẹ, 21°, 25°, 25°, 10 km, 0.11 km/giờ, 23 °C, 1.18, Rất kém
53, Bến Tre, 2022-11-19, 09:03, 24°, Mưa nhẹ, 21°, 25°, 25°, 10 km, 0.98 km/giờ, 23 °C, 0, Rất kém
54, Trà Vinh, 2022-11-19, 09:03, 24°, Mưa vừa, 21°, 25°, 25°, 10 km, 1.78 km/giờ, 23 °C, 0, Kém
55, Vĩnh Long, 2022-11-19, 09:03, 25°, Mưa nhẹ, 21°, 27°, 27°, 10 km, 2.48 km/giờ, 23 °C, 1.36, Rất kém
56, Đồng Tháp, 2022-11-19, 09:03, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 1.6 km/giờ, 21 °C, 0, Kém
57, An Giang, 2022-11-19, 09:03, 25°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.7 km/giờ, 22 °C, 0, Rất kém
58, Kiên Giang, 2022-11-19, 09:03, 26°, Nhiều mây, 22°, 27°, 27°, 10 km, 3.9 km/giờ, 23 °C, 2.6, Rất kém
59, Cần Thơ, 2022-11-19, 09:03, 24°, Mây cụm, 21°, 26°, 26°, 7 km, 2.06 km/giờ, 24 °C, 1.36, Rất kém
60, Hậu Giang, 2022-11-19, 09:03, 25°, Mưa nhẹ, 22°, 26°, 26°, 10 km, 4.42 km/giờ, 22 °C, 0, Rất kém
61, Sóc Trăng, 2022-11-19, 09:03, 24°, Mưa nhẹ, 22°, 25°, 25°, 10 km, 3.44 km/giờ, 23 °C, 1.8, Rất kém
62, Bạc Liêu, 2022-11-19, 09:03, 25°, Nhiều mây, 22°, 25°, 25°, 10 km, 6.62 km/giờ, 23 °C, 0, Kém
63, Cà Mau, 2022-11-19, 09:03, 26°, Nhiều mây, 22°, 27°, 27°, 10 km, 3.67 km/giờ, 23 °C, 0, Khá
