1, Hà Giang, 2022-11-19, 10:11, 23°, Nhiều mây, 20°, 27°, 27°, 8.66 km, 1.05 km/giờ, 22 °C, 0, Khá
46, Tây Ninh, 2022-11-19, 10:11, 26°, Nhiều mây, 22°, 27°, 27°, 10 km, 3.64 km/giờ, 23 °C, 5.19, Tốt
47, Bình Dương, 2022-11-19, 10:11, 27°, Mây cụm, 22°, 27°, 27°, 10 km, 2.57 km/giờ, 26 °C, 0, Trung bình
48, Đồng Nai, 2022-11-19, 10:11, 27°, Nhiều mây, 22°, 27°, 27°, 10 km, 3.11 km/giờ, 23 °C, 0, Khá
49, Bà Rịa - Vũng Tàu, 2022-11-19, 10:11, 24°, Mưa cường độ nặng, 22°, 24°, 24°, 10 km, 2.1 km/giờ, 23 °C, 4.56, Khá
50, Hồ Chí Minh, 2022-11-19, 10:11, 27°, Mưa nhẹ, 22°, 27°, 27°, 10 km, 2.57 km/giờ, 26 °C, 3.99, Rất kém
51, Long An, 2022-11-19, 10:11, 25°, Nhiều mây, 22°, 26°, 26°, 10 km, 2.25 km/giờ, 23 °C, 3.27, Rất kém
52, Tiền Giang, 2022-11-19, 10:11, 25°, Nhiều mây, 21°, 25°, 25°, 10 km, 0.63 km/giờ, 23 °C, 0, Rất kém
53, Bến Tre, 2022-11-19, 10:11, 25°, Nhiều mây, 21°, 25°, 25°, 10 km, 1.12 km/giờ, 23 °C, 2, Rất kém
54, Trà Vinh, 2022-11-19, 10:11, 25°, Mưa nhẹ, 21°, 25°, 25°, 10 km, 1.83 km/giờ, 23 °C, 0, Rất kém
55, Vĩnh Long, 2022-11-19, 10:11, 25°, Nhiều mây, 21°, 26°, 26°, 10 km, 1.39 km/giờ, 22 °C, 0, Rất kém
56, Đồng Tháp, 2022-11-19, 10:11, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 0.39 km/giờ, 21 °C, 0, Rất kém
57, An Giang, 2022-11-19, 10:11, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 0.29 km/giờ, 21 °C, 3.48, Rất kém
58, Kiên Giang, 2022-11-19, 10:11, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 2.64 km/giờ, 23 °C, 0, Khá
59, Cần Thơ, 2022-11-19, 10:11, 25°, Mây cụm, 21°, 26°, 26°, 10 km, 2.06 km/giờ, 25 °C, 0, Rất kém
60, Hậu Giang, 2022-11-19, 10:11, 25°, Nhiều mây, 22°, 26°, 26°, 10 km, 2.6 km/giờ, 23 °C, 0, Rất kém
61, Sóc Trăng, 2022-11-19, 10:11, 24°, Nhiều mây, 22°, 25°, 25°, 10 km, 2.85 km/giờ, 23 °C, 3.09, Rất kém
62, Bạc Liêu, 2022-11-19, 10:11, 24°, Nhiều mây, 22°, 25°, 25°, 10 km, 4.67 km/giờ, 23 °C, 0, Kém
63, Cà Mau, 2022-11-19, 10:11, 26°, Nhiều mây, 22°, 27°, 27°, 10 km, 3.44 km/giờ, 23 °C, 0, Khá
